,allocation_weight,ticker,buy_investment,buy_price,shares_bought
0,0.1,ACN,325.78500976562503,210.14999389648438,1.5502499130506762
1,0.1,ADBE,325.78500976562503,334.42999267578125,0.974150096882796
2,0.01659,BABA,54.047733120117186,219.77000427246094,0.24592861659642706
3,0.01712,BKNG,55.774393671874996,2074.580078125,0.02688466656938292
4,0.08398,DEO,273.59425120117186,166.75,1.6407451346397113
5,0.08509,EA,277.2104648095703,107.33999633789062,2.582545875415835
6,0.1,FB,325.78500976562503,209.77999877929688,1.5529841341469999
7,0.1,GOOG,325.78500976562503,1367.3699951171875,0.2382566612760172
8,0.09722,GRMN,316.72818649414063,98.33999633789062,3.2207463726750674
9,0.1,INTU,325.78500976562503,266.1600036621094,1.2240194066844459
10,0.1,MSFT,325.78500976562503,160.6199951171875,2.028296723131725
11,0.1,TXN,325.78500976562503,129.57000732421875,2.514355108049226
