,allocation_weight,allocation_discrete,ticker,buy_price,buy_investment,actual_allocation
ACN,0.1,8,ACN,257.04998779296875,2056.39990234375,0.10283300442743541
ADBE,0.1,4,ADBE,501.6400146484375,2006.56005859375,0.10034069694037266
BABA,0.0821575135216151,6,BABA,270.70001220703125,1624.2000732421875,0.08122027876600985
DEO,0.0178424864783848,2,DEO,169.50999450683594,339.0199890136719,0.01695314417759799
EA,0.1,13,EA,145.77999877929688,1895.1399841308594,0.09476898834542043
FB,0.1,7,FB,273.9700012207031,1917.7900085449219,0.09590163285595467
GOOG,0.1,1,GOOG,2121.89990234375,2121.89990234375,0.10610841879714059
GRMN,0.1,15,GRMN,132.47999572753906,1987.199935913086,0.09937256832926576
INTU,0.1,5,INTU,422.260009765625,2111.300048828125,0.1055783590639826
MSFT,0.1,8,MSFT,243.6999969482422,1949.5999755859375,0.09749233244596979
TXN,0.1,11,TXN,180.75999450683594,1988.3599395751953,0.09943057585085024
