,allocation_weight,allocation_discrete,ticker,buy_price,buy_investment,actual_allocation
ACN,0.1004491811097302,8,ACN,243.75,1950.0,0.0976130841159922
ADBE,0.15,6,ADBE,486.4200134277344,2918.5200805664062,0.1460952544197646
BABA,0.0208684874717745,1,BABA,256.0299987792969,256.0299987792969,0.01281634759336456
EA,0.1157599449333372,16,EA,137.5399932861328,2200.639892578125,0.1101596138170444
FB,0.1033419003283982,7,FB,274.19000244140625,1919.3300170898438,0.0960778063613024
GOOG,0.1443125937855438,2,GOOG,1760.06005859375,3520.1201171875,0.17621014415252298
GRMN,0.0652678923712161,11,GRMN,117.20999908447266,1289.3099899291992,0.06454026897361435
INTU,0.15,8,INTU,365.510009765625,2924.080078125,0.14637357673226292
MSFT,0.15,14,MSFT,214.1999969482422,2998.7999572753906,0.15011390383413156
