,allocation_weight,allocation_discrete,ticker,buy_price,buy_investment,actual_allocation
0,0.10042,8.0,ACN,243.75,1950.0,0.0976130841159922
1,0.15,6.0,ADBE,486.4200134277344,2918.5200805664062,0.1460952544197646
2,0.02098,1.0,BABA,256.0299987792969,256.0299987792969,0.01281634759336456
3,0.11573,16.0,EA,137.5399932861328,2200.639892578125,0.1101596138170444
4,0.10338,7.0,FB,274.19000244140625,1919.3300170898438,0.0960778063613024
5,0.14421,2.0,GOOG,1760.06005859375,3520.1201171875,0.17621014415252298
6,0.06528,11.0,GRMN,117.20999908447266,1289.3099899291992,0.06454026897361435
7,0.15,8.0,INTU,365.510009765625,2924.080078125,0.14637357673226292
8,0.15,14.0,MSFT,214.1999969482422,2998.7999572753906,0.15011390383413156
