Date,total,SP500,ACN,ADBE,BABA,BKNG,DEO,EA,FB,GOOG,GRMN,INTU,MSFT,TXN
2020-01-02,3257.8500976562505,3257.85009765625,325.78500976562503,325.78500976562503,54.047733120117186,55.77439367187499,273.59425120117186,277.2104648095703,325.7850097656251,325.78500976562503,316.7281864941407,325.7850097656251,325.7850097656251,325.78500976562503
2020-01-03,3236.9983501590855,3234.85009765625,325.24243648901916,323.23274126838436,53.36650980142467,55.529740580637885,273.0364038639825,276.84890996327294,324.0611964288556,324.1863168753638,314.6991251253995,323.6062567158911,321.72841631936166,321.46029672749216
2020-01-06,3257.491484085001,3246.280029296875,323.11857802278297,325.08362050672133,53.277975349347045,55.04366699051852,275.1857759846351,280.9293371752127,330.16443639831516,332.1798104107351,314.6347210097777,326.09101461729625,322.56002540369013,319.2225222159689
2020-01-07,3250.9489814978924,3237.179931640625,316.1424534140549,324.7719150695321,53.52144603070374,55.5988360115402,272.8230989850285,279.92214586006145,330.87879582989467,331.97252827878754,314.1516041394075,326.16445279336864,319.6190013450195,325.38270374049375
2020-01-08,3280.417336899343,3253.050048828125,316.762567572237,329.136088477198,53.6124384180211,55.4603760405243,276.46555518679133,282.7629423823666,334.23324724684994,334.5885817661478,312.4123981494816,334.0104216727089,324.71001497831344,326.2627050087025
2020-01-09,3309.37958769713,3274.699951171875,319.5840101134223,331.6494123752285,54.542048288549765,56.03544273408141,278.6805711328685,282.4272185117366,339.0164412236216,338.28394490926405,313.70070161302056,336.48292742673266,328.76660842457693,330.2102609440266
2020-01-10,3303.1682583863853,3265.35009765625,321.92490262128814,331.0259420434467,55.04620270308702,56.10560803818949,277.5156310715294,280.43864715384007,338.6437165006297,340.64269167270965,310.80202496314405,336.9113416898938,327.2453858822281,326.8661640463994
2020-01-13,3331.013581474575,3288.1298828125,324.91687359910645,336.695502742193,56.6816265024241,55.93354879760116,275.53031844287045,283.61518725003657,344.6227148957585,342.9061299548318,314.3126267146344,337.8783274803247,331.1802864769999,326.7404386177941
2020-01-14,3313.656797566798,3283.14990234375,322.03340781463476,335.7213526453102,55.700373723851,55.69104858005418,275.8912843753539,282.99538175684995,340.1967006347767,340.91669264999007,313.34641754623874,333.76560284972885,328.8477576251392,328.55077736487067
2020-01-15,3318.0211530223764,3289.2900390625,321.30478846310604,334.0750366032822,55.348693850780215,55.52113564951668,279.4189014362996,283.0728549805906,343.44243178794613,342.89897527481793,313.02434782344017,334.1572980248538,330.97744442494604,324.77924470279686
2020-01-16,3347.977169903799,3316.81005859375,323.9712202059481,336.4519652179723,55.07325500101554,55.241268633439546,279.2712403827702,287.334059615679,344.40529806484426,345.8771835407681,317.1468992488891,338.8942471520653,337.0420627688766,327.2684700715307
2020-01-17,3380.863067983872,3329.6201171875,324.3122770792142,340.6992453706045,55.931543471290425,55.23965397817195,280.0751894758419,291.6469064988407,344.97989461154833,352.7127822764909,318.9827236984201,346.21389665151713,338.92839481505206,331.14056005688025
2020-01-21,3379.3828612645675,3320.7900390625,324.23475985257437,340.9525339089785,54.66009297379564,53.515809289015905,278.5821053947316,290.3039913130595,343.89281045697686,353.6681938149329,323.9748658326596,348.8577830524485,337.7114044014323,329.0285109739623
2020-01-22,3390.6278323233287,3321.75,324.63783996912684,341.01098053649537,54.68714527172416,53.79030396632667,277.2531058413989,292.0601035932113,343.7064599438096,354.0374741894717,322.78320540107046,355.3083518781967,336.0887608330565,335.2641008994404
2020-01-23,3395.505838859351,3325.5400390625,326.606640327147,342.6670475926768,53.89033895559839,53.58651609336617,277.3843684564642,293.06731461162394,341.2837847893481,354.204271302804,323.8782473730545,353.22750394519,338.1576321564694,337.5521732556086
2020-01-24,3362.8626876460216,3295.469970703125,323.335635719349,342.2871147851157,52.56724179748628,52.7735240388536,277.59767333541816,290.0973829142435,338.45736598746237,349.4534183532463,320.7541194599845,352.6154942418478,334.75007756794514,328.173639445069
2020-01-27,3304.9457860130196,3243.6298828125,320.2041242716044,337.9326626629015,50.530953152273696,51.31987156144771,273.01998038973437,285.5262656809311,333.68969332123555,341.6362324204941,317.0180664453007,347.3277587940929,329.15198975386824,317.58818755913546
2020-01-28,3353.8036962606584,3276.239990234375,325.9245502355513,345.46285361413817,51.701572016346454,51.55000260073542,267.35941468238417,288.98688739968424,338.22440414934596,346.0821098634428,328.2584644056802,352.71343671268295,335.6019894270901,321.93801115357667
2020-01-29,3346.003737180347,3273.39990234375,322.38998232619065,342.5696266372482,52.14178634149487,50.91821293635492,263.8810430083988,289.7874703160195,346.6726416305708,347.5283150003996,323.7816289134494,349.9716451950243,340.8349677373403,315.5264171378554
2020-01-30,3326.6503218410667,3283.659912109375,323.02556681278975,347.51829604878407,51.2957912999915,50.33051451896657,259.8940193126167,288.3154199551629,325.39676373208835,346.8635696085386,319.88452875119395,350.84068851462007,350.44910534675137,312.83605793956303
2020-01-31,3257.4277164347905,3225.52001953125,318.1267950653013,342.06307928920177,50.80639200203837,49.21372770131176,259.1556890091856,278.7083461460942,313.56303221281854,341.7148466484517,312.25135100190994,343.1905672228423,345.27694251289506,303.35694762274056
2020-02-03,3304.328719608194,3248.919921875,322.1419366629178,348.74573468404094,52.40738969772776,49.44170914872898,263.0442720026148,271.27062111807066,317.10383414294114,354.0350892961337,316.0196429329218,346.1526732687182,353.69439248350284,310.2714241698759
2020-02-04,3363.4970294944947,3297.590087890625,329.4746121282653,357.259797017612,54.81257126783499,50.126729927825714,266.8836096090836,276.513186092643,325.8626637116639,344.77405403569753,318.3707740244615,356.0917422284465,365.33679586669376,317.99049358426674
