,allocation_weight,ticker,buy_investment,buy_price,shares_bought
0,0.00721,ACN,23.489099204101564,210.14999389648438,0.11177301873095374
1,0.05,ADBE,162.89250488281252,334.42999267578125,0.487075048441398
2,0.05,AMZN,162.89250488281252,1898.010009765625,0.0858227849403846
3,0.00289,AVGO,9.415186782226563,322.3900146484375,0.02920433746216896
4,0.05,COST,162.89250488281252,291.489990234375,0.5588270964359271
5,0.05,FICO,162.89250488281252,382.9200134277344,0.42539564183305345
6,0.03638,GIB,118.52058655273439,84.2300033569336,1.4071065158396208
7,0.02622,HD,85.42082956054688,219.66000366210938,0.3888774840045297
8,0.00288,KO,9.38260828125,54.9900016784668,0.17062389516027382
9,0.05,LMT,162.89250488281252,399.3699951171875,0.407873668213394
10,0.05,LOGI,162.89250488281252,47.66999816894531,3.417086451430348
11,0.05,MCD,162.89250488281252,200.7899932861328,0.8112580822226781
12,0.03432,MSFT,111.8094153515625,160.6199951171875,0.6961114353788079
13,0.05,MSI,162.89250488281252,161.6300048828125,1.0078110496928796
14,0.05,MTCH,162.89250488281252,72.8954849243164,2.234603488157536
15,0.05,NFLX,162.89250488281252,329.80999755859375,0.49389802034085756
16,0.05,NVDA,162.89250488281252,239.91000366210938,0.6789733750003658
17,0.05,PAYC,162.89250488281252,271.79998779296875,0.5993101994062209
18,0.0224,PEP,72.97584218749999,135.82000732421875,0.5372981759108424
19,0.05,RACE,162.89250488281252,168.50999450683594,0.9666637599718423
20,0.05,SNE,162.89250488281252,69.05999755859375,2.3587099716388904
21,0.05,SNPS,162.89250488281252,142.8699951171875,1.1401449601030769
22,0.05,TTWO,162.89250488281252,122.08000183105469,1.3343094891842961
23,0.05,UI,162.89250488281252,190.1300048828125,0.8567427586361872
24,0.01789,VZ,58.28293824707031,61.04999923706055,0.9546754950930371
