,allocation_weight,ticker,buy_investment,buy_price,shares_bought
0,0.03939,AAPL,128.3267153466797,75.0875015258789,1.7090289693878267
1,0.1,ADBE,325.78500976562503,334.42999267578125,0.974150096882796
2,0.01,CRM,32.5785009765625,166.99000549316406,0.19509251994063886
3,0.01,INTC,32.5785009765625,60.84000015258789,0.5354783184558678
4,0.1,MSFT,325.78500976562503,160.6199951171875,2.028296723131725
5,0.1,NVDA,325.78500976562503,239.91000366210938,1.3579467500007316
6,0.01,ORCL,32.5785009765625,53.95000076293945,0.6038646990889768
7,0.01,QCOM,32.5785009765625,88.69000244140625,0.367330026832345
8,0.01,EA,32.5785009765625,107.33999633789062,0.30350756556773245
9,0.01,FB,32.5785009765625,209.77999877929688,0.15529841341469997
10,0.01,GOOG,32.5785009765625,1367.3699951171875,0.02382566612760172
11,0.1,NFLX,325.78500976562503,329.80999755859375,0.9877960406817151
12,0.01,TWTR,32.5785009765625,32.29999923706055,1.0086223450798848
13,0.1,ZM,325.78500976562503,68.72000122070312,4.740759662086218
14,0.1,MA,325.78500976562503,303.3900146484375,1.0738158608915933
15,0.07942,PYPL,258.7384547558594,110.75,2.3362388691273983
16,0.08119,V,264.50484942871094,191.1199951171875,1.383972667362861
17,0.1,AMZN,325.78500976562503,1898.010009765625,0.1716455698807692
18,0.01,NIO,32.5785009765625,3.7200000286102295,8.757661485484892
19,0.01,TSLA,32.5785009765625,86.052001953125,0.37859085479857807
