Date,total,SP500,ACN,ADBE,AMZN,FICO,HD,KO,LOGI,MCD,MSFT,MTCH,NVDA,PAYC,SNPS,TTWO
2020-01-02,3258.5342461767577,3257.85009765625,40.26702720703125,287.8962131298828,325.7524312646484,325.7524312646484,119.17215657226564,25.965065278320306,286.2347095800781,325.7524312646484,100.8630390234375,287.86363462890625,325.7524312646484,325.785009765625,233.8810585107422,247.59660742187498
2020-01-03,3238.477616132179,3234.85009765625,40.19996515004276,285.64077345887125,321.7981061017539,324.90172506011066,118.77610366271551,25.82341045771976,283.47264309363743,324.6005738494273,99.60711769247433,286.3187701491369,320.5384421686498,326.87575871802335,232.06396516315965,247.8602614064563
2020-01-06,3264.2422614591655,3246.280029296875,39.93745624361597,287.27639544178965,326.5882607605459,326.6711825424922,119.3349172481292,25.813966682932,283.292515293981,328.25087015329234,99.86458386498242,286.69091630043795,321.8826617545497,333.3243423162729,232.42411159089275,252.8900812652517
2020-01-07,3277.642332556093,3237.179931640625,39.07520724197718,287.0009413469455,327.27133846161723,330.4908450931889,118.55367262666554,25.615652816036622,284.0731072681025,328.7375812781723,98.954042816418,288.50639418135574,325.7795725663982,335.00240355881203,234.02840930677476,254.55316399362863
2020-01-08,3309.804821551418,3253.050048828125,39.151853351928494,290.8575613872999,324.7157889922582,332.9068475986969,120.3277399863581,25.66286988875956,285.93448894552864,334.0589001318386,100.53022063728581,291.9006008777022,326.39060407113556,339.35340145913983,238.7757577029732,259.2381865205134
2020-01-09,3344.84101825566,3274.699951171875,39.500583650018996,293.07858571598945,326.2741883210673,341.5670564916258,122.17234718222548,26.130326834066455,287.9760213279775,338.0174476399661,101.78614196824897,293.3890649692562,329.97522416445344,341.9544238193192,243.37578028208395,259.64382588936127
2020-01-10,3343.1144645976406,3265.35009765625,39.78991796399121,292.5276249837939,323.20375363573686,343.6938220029702,121.64609235466598,26.22003999272638,285.2739898063002,336.26530244349215,101.31517146913778,299.0159979313462,331.7403825500871,342.3019973981008,243.03202004221276,257.08835202307876
2020-01-13,3391.458600020322,3288.1298828125,40.15972557684955,297.53781577327595,324.6008113691604,347.87079258262963,121.16866324636,26.503347832711608,288.1561720330001,335.03229762644224,102.53341669327915,305.6916105476084,342.1411987217835,354.1084156422017,245.43841665814594,260.51591571687476
2020-01-14,3353.500290599247,3283.14990234375,39.80332920588885,296.67695933266066,320.8489959921375,342.6389286555281,120.88112297295349,26.441964197199095,283.71282876342343,336.3464250901648,101.81126576074307,305.1390855906209,335.75949137546274,343.41674216903004,242.59001761200486,257.4331338814297
2020-01-15,3360.337079516892,3289.2900390625,39.7132718540399,295.22210984632045,319.5755266331042,343.57471067281824,121.84682583049833,26.772489109907255,282.2717376500735,340.3211872255644,102.47061679396326,309.7060106154356,333.43764624424426,346.5091667032098,242.13165397287997,256.7841263648328
2020-01-16,3393.0184448268437,3316.81005859375,40.04284281745518,297.32260166312216,322.3078374373896,346.95201534329277,124.14173397563579,26.829149957417954,281.97151701552406,342.0733324220384,104.34822263324415,312.34468711131444,337.9998711643298,352.7659666481704,245.04554781257886,258.8731188253302
2020-01-17,3403.60499901832,3329.6201171875,40.08499744699087,301.0759231340032,320.03891494718516,344.5104926901084,125.81814989682131,26.885810804928653,279.62976399852585,343.9065755100289,104.93223103474007,310.89002709859454,338.4751132861142,355.0792952389204,248.5978785052692,263.67982542608945
2020-01-21,3419.360646635951,3320.7900390625,40.075416317778185,301.2997542153644,324.7209428725938,346.68829849680554,126.38237752434958,26.994411513164103,286.9552665894362,342.5762581741904,104.5554508026834,307.27030923462445,336.6556515784299,359.3224216928341,251.4135551335763,264.45053249012057
2020-01-22,3431.94927638537,3321.75,40.12523702018407,301.35140350010096,323.9417432081893,349.6147299173348,126.35524936531368,27.202170956063107,291.57873765866924,343.03051528937,104.05308035391425,306.5260771888474,339.60209886526064,363.51759308867764,251.16798712615196,263.8826528472933
2020-01-23,3456.339904094299,3325.5400390625,40.36858074443536,302.8148699576485,323.4474525628275,353.11111995646826,126.76214691579668,27.30605067751261,291.0983663190972,346.2427691053275,104.69360291564288,304.3271851303505,343.33607899240644,377.3856398818956,253.67265091136673,261.7733900235233
2020-01-24,3419.2782104219073,3295.469970703125,39.96428457491153,302.47912333560674,319.5103070010518,348.1940391326998,125.86697561607482,27.235223267212337,288.99679897188497,342.70604945783543,103.63862401503577,296.97497875439217,340.1044822887949,377.33768482382544,252.1829565947384,254.08668258784348
2020-01-27,3359.6017037625525,3243.6298828125,39.5772297599703,298.63109399520613,313.79507272347666,343.4726300821126,125.42752758608948,27.140787320550597,281.01079724174616,339.6235621703668,101.90545602779757,292.4869600419363,326.14618732553043,374.60483177769277,246.17509570147408,249.60447200860278
2020-01-28,3407.0169760326316,3276.239990234375,40.28427440911413,305.28552373881394,318.07034216629734,347.8877973605829,126.87608187240673,26.918863116077883,281.3110178762956,341.3270387298684,103.90237592662704,292.19378045981927,336.6963842496056,381.86846846817684,248.9089163273064,255.4861113316391
2020-01-29,3402.2774489868766,3273.39990234375,39.84740181551716,302.72877905933626,318.8855770915853,348.23659001982253,126.96288866998088,26.918863116077883,279.68982186865543,347.8975770278567,105.52250601148052,284.53712647546575,333.3968928545176,386.01568480595023,246.27331291286586,255.36442725776462
2020-01-30,3418.6709233715164,3283.659912109375,39.92596005806081,307.10191821831046,321.0618344894134,348.695978639491,126.29557072677542,27.79239337117916,276.2071983728567,350.7204569928791,108.49904301535418,282.96969581472774,333.76350761364984,390.29476840866863,246.8953885569403,258.4472090932097
