Date,total,SP500,AAPL,ADBE,CRM,INTC,MSFT,NVDA,ORCL,QCOM,EA,FB,GOOG,NFLX,TWTR,ZM,MA,PYPL,V,AMZN,NIO,TSLA
2020-06-10,4787.438446320213,3190.139892578125,150.75344382503744,396.3037495487475,35.52634907194058,34.20099962782373,399.24991955340425,508.78192705692237,32.6751192362743,33.430706526713315,37.88077851752342,36.763792744155516,34.92485211146368,429.17763460764303,35.44298859049293,1047.8027207690063,336.26543028415057,373.58796611772453,277.4588344399372,454.42305559971106,55.17326902894619,77.61490906259482
2020-06-11,4612.241787344287,3002.10009765625,143.51570509657148,377.64878113918223,33.565668651162035,31.968056020352844,377.8108392835649,477.7935722760066,30.984298539537363,30.86306762135112,37.15539562106286,34.85362178522156,33.44742232221858,420.36648066089924,33.31479482676015,1052.7805328818472,312.74886948467656,357.53798084605955,261.4047641691762,439.0624952273073,51.75777804290262,73.66166284842632
2020-06-12,4638.526583098621,3041.31005859375,144.75474849160642,396.0309887107683,34.162651285880294,31.769929614476723,380.7924379425167,485.194357198763,31.316423663324098,31.311210702487493,37.01881814278896,35.49811162269201,33.669956137903064,412.9678979626389,33.687987864703715,1040.6915812758768,319.77163439058023,362.72443398737647,266.08257742479475,436.84141161040776,53.42173422626216,70.81769084277342
2020-06-15,4775.139701769567,3066.590087890625,146.54495738014867,390.9653963154971,34.845475105672534,32.182246122122585,383.2263878204044,498.2985764892669,32.15579522648801,31.73364079384583,38.399776176774765,36.10688111891774,33.828871469594,420.3072153100698,34.404108806289095,1133.136394686558,319.10587380006893,368.07444096065683,265.3905910911133,441.58911298727344,59.81482727770526,75.02913283109996
2020-06-16,4849.867437213961,3124.739990234375,150.42872414841975,401.02838346436937,35.21029716536133,32.34289125180948,392.61741155229686,492.5815908340667,32.96497401540968,32.88338276892902,38.16000723768575,36.59607017330775,34.37376433759599,430.80749204573925,34.928592887441305,1149.9186520615126,326.95546512156574,376.64843333257323,266.94065483862767,448.8995128945318,61.21605177906976,74.36508530364793
2020-06-17,4855.125504183246,3113.489990234375,150.21937227210375,402.80131404688274,35.389781926481646,32.39108438217802,393.9763666428729,501.67985063556995,31.111109573491404,33.03766351010293,38.88235441012852,36.57743512199102,34.57390051474915,442.30542228380017,34.6360914839468,1122.4222315537622,326.1823163909134,382.74601820692277,267.88174611591586,453.3125137912613,59.90240589702975,75.09652542314221
2020-06-18,4909.808979670896,3115.340087890625,150.27919454468332,409.5911414113039,36.611063006510435,32.171538353318624,398.1952275409091,500.7021273179196,32.4214948648052,33.03031534016309,39.25870545864936,36.641108040210824,34.21270260190088,444.3797999982603,34.32341717184003,1145.2253462925285,327.3527717468541,392.6049490864945,268.36614499659163,455.54390619971133,62.880007962429296,76.01801773581303
2020-06-19,4913.571872324127,3097.739990234375,149.42040331513195,416.94599247999,36.47254600752731,31.92521677438629,395.82209313941536,503.05139011426945,32.850240551864744,32.622578786178735,39.513650702248356,37.08370709664328,34.111682010192375,448.1828207839135,33.6980723952154,1154.2801422700418,318.3864027543574,383.98422195570623,265.9995424435925,459.1536175629827,64.2812366397722,75.78631454069712
2020-06-22,5039.593728381992,3117.860107421875,153.32980447483533,427.30121276644644,37.389480255873195,32.1768922377206,406.81548861421896,517.4727779686779,33.285021568787315,32.74012428266486,39.371001775938886,37.15048664663779,34.59153127501105,462.32806732130996,33.75859112105219,1191.2107005471144,326.91250331145744,397.7680170242874,269.81932052087205,465.81519218741295,65.06942333380051,75.28809114787327
2020-06-23,5069.0090185493855,3131.2900390625,156.60259651587577,429.1618132902351,36.88419134367709,32.085859861385515,409.533398795371,513.3038715002765,33.327291913438664,32.82093733696889,39.63808991560903,37.61948851865658,34.89054454827506,460.5697915747022,33.193761222675455,1198.5114385978964,329.5326166336537,403.67869851132565,273.9850706472453,474.49871474806076,63.317892707094906,75.8529503669621
2020-06-24,4993.642227824598,3050.330078125,153.8382416363367,420.52110668747696,36.19941767036066,31.641413919264735,401.278216276536,501.65270661941855,32.87439338912193,32.743798367634774,39.720033623878614,36.34293537081449,34.11763842672427,452.2624232551518,32.003586547674075,1213.1603685925625,315.71261174722036,392.4881300134029,264.9062133281845,469.34762951971265,60.07755895970031,72.75380387342219
2020-06-25,5070.747447314277,3083.760009765625,155.8805307332009,425.6548967244184,36.74372449116978,31.330835514070248,406.3489580843653,515.476594588527,32.92874130418238,32.67767885070473,39.68058078954219,36.60072893613694,34.34064631266984,460.22405693143503,31.640483811625543,1230.2745862044753,320.00787519078676,403.0012049244762,268.4630121020786,472.8114672919794,62.00424264907649,74.65660187935747
2020-06-26,4951.609916636429,3009.050048828125,151.0909806973713,415.884172441832,35.735096520301745,30.7900033112124,398.21549936637376,497.2801164267663,32.71738958092564,32.3323877286805,39.73824333682741,33.55688145500826,32.40052394860688,437.9887584092439,29.300478355052874,1217.4270233531392,310.6978772579425,399.1931241603822,261.94451266473783,462.2192258795422,60.42786508504144,72.6697566574422
