Date,total,SP500,ACN,ADBE,DEO,EA,FB,GOOG,GRMN,INTU,MSFT
2020-01-17,3394.919477163953,3329.6201171875,486.46841561882127,511.04886805590667,153.67783675930934,213.22545602647654,337.2868429617107,418.14100338877995,247.35761715309496,519.3208449772756,508.39259222257783
2020-01-21,3399.4633968098865,3320.7900390625,486.35213977886156,511.42880086346776,152.85857843045054,212.2436396707655,336.2240007837862,419.27364376760295,251.2288123341309,523.2866745786725,506.56710660214816
2020-01-22,3407.2837628593534,3321.75,486.95675995369027,511.516470804743,152.1293536219536,213.52754782622733,336.04180588706254,419.71142565161864,250.3047300471786,532.9625278172948,504.1331412495845
2020-01-23,3412.189750643858,3325.5400390625,489.9099604907205,514.0005713890151,152.2013776908058,214.26392809953148,333.6731563885455,419.90916362947405,251.15388880327689,529.8412559177848,507.23644823470386
2020-01-24,3387.811542423208,3295.469970703125,485.0034535790235,513.4306721776735,152.3184185198389,212.09258656828175,330.90976672594184,414.2770274577735,248.73125967998595,528.9232413627715,502.1251163519175
2020-01-27,3337.574312444577,3243.6298828125,480.3061864074067,506.8989939943522,149.80662891592002,208.75060510060794,326.24841316017194,405.0097535344957,245.83410850968136,520.9916381911391,493.7279846308021
2020-01-28,3393.048507034419,3276.239990234375,488.8868253533269,518.1942804212072,146.70066478404698,211.28069414895242,330.68199993681543,410.28034124311137,254.55056193729922,529.0701550690242,503.4029841406349
2020-01-29,3392.3230392254827,3273.39990234375,483.58497348928597,513.8544399558722,144.7920750396168,211.8660069145561,338.94184172220895,411.99481743297366,251.07896527242286,524.9574677925362,511.2524516060102
2020-01-30,3388.5487572491156,3283.659912109375,484.5383502191846,521.277444073176,142.60438687693951,210.78977876848856,318.14041590086265,411.2067617709225,248.0569288474852,526.2610327719299,525.6736580201268
2020-01-31,3322.762557099062,3225.52001953125,477.1901925979519,513.0946189338025,142.19926350968416,203.76596796037757,306.5705765944726,405.1029507017395,242.13772219742842,514.7858508342632,517.9154137693424
2020-02-03,3373.564118908258,3248.919921875,483.2129049943767,523.1186020260612,144.33293705501896,198.3281859179126,310.0324186415534,419.7085983605665,245.0598732844371,519.2290099030771,530.5415887252541
2020-02-04,3435.053722198335,3297.590087890625,494.21191819239795,535.8896955264179,146.439589554496,202.16106836083355,318.59592631089373,408.7296410593194,246.88307605126676,534.1376133426695,548.0051938000404
2020-02-05,3430.590677649322,3334.68994140625,493.4910576600141,534.150834036038,146.9977589166173,203.57715878488122,319.02106318206353,409.05729650893755,244.86006449894998,532.0995918943358,547.3358521674847
2020-02-06,3472.055219074798,3345.780029296875,498.00229058417636,536.9417794147735,149.05940839309991,207.69326219365504,320.1446524377105,416.96598812333366,244.3855233971218,540.1781087722208,558.6842057587068
2020-02-07,3460.875591340669,3327.7099609375,492.0028191627817,534.9399081005677,146.91673699060354,205.97506556463986,322.39180778078253,417.8133479391618,240.2645577068197,541.0961233272342,559.4752247680781
2020-02-10,3500.6572616496233,3352.090087890625,494.2584356248628,540.6533037699517,146.0704713530735,205.23869969655243,323.5001986828879,426.1316174853704,244.03586754992665,546.6592892893684,574.109378197629
2020-02-11,3476.2658190464017,3357.75,493.3050234125595,539.6012198815961,145.56631660829467,205.88066817950005,314.58747640542,426.16268320778494,244.86006449894998,545.1537880028295,561.1485788494673
2020-02-12,3494.8458078003187,3379.449951171875,492.95623137508494,546.9219721294471,144.36894222085178,207.1645907401786,320.00798309694585,428.84033470913647,244.28561900437825,548.3300825032321,561.9700520210635
2020-02-13,3494.3195434640206,3373.93994140625,493.9096081049836,547.7256281221544,144.45897574121366,205.50303542329067,323.621669670111,427.82068253492235,245.50943352437577,546.8429034066035,558.9276069363658
2020-02-14,3523.1012331466054,3380.159912109375,493.8398496974887,554.7833705461796,144.81908234828808,207.10794942805137,325.2007461675671,429.5379860158368,245.20972034614513,558.6853135787402,563.9172150183088
2020-02-18,3532.464936302259,3370.2900390625,497.07211934690315,553.5851552246812,145.63834067714686,206.67367535971474,330.69719829035694,429.2357761856881,242.56232063029213,557.3633703782746,569.6369802092014
2020-02-19,3566.7929636611025,3386.14990234375,502.0949375809645,560.0583719161348,146.09747866174473,207.27787336443305,330.22651269500625,431.2185691922323,258.9212790820529,561.1088294202924,569.7891117482418
2020-02-20,3520.726909160356,3373.22998046875,497.3976704093476,553.7458685860017,145.33223495022844,206.18275997925087,325.8081011036824,428.8064416956697,249.28072431266818,553.0853911744618,561.0877169490456
2020-02-21,3456.44135196064,3337.75,492.7236796951655,544.963935785879,145.3052276415572,203.93590630197596,319.127335815745,419.4741745573514,241.2136399104761,546.3471957181146,543.3502565343753
2020-02-24,3329.748530166491,3225.889892578125,475.2136097658505,522.2564845414863,139.9125577066699,202.0855418095917,304.76373330789005,401.5327372068844,238.16662262364892,525.8938045374598,519.9234386670095
2020-02-25,3257.8565579064366,3128.2099609375,458.33140098639427,508.2140877065335,137.38277238842784,198.9701399956435,298.7662452191101,392.17223163720365,229.77484418133668,522.9010681231305,511.3437676686567
2020-02-26,3254.9406980482026,3116.389892578125,455.00609647205016,513.3868372070359,134.74494409831425,201.1603667660079,299.41912571118445,393.5082645759864,225.72880202188858,514.2533867036301,517.732874492105
2020-02-27,3108.5086460634006,2978.760009765625,433.5428963609369,493.1926949963229,129.67636186748203,193.98550285541313,288.10740356456023,372.29882356081305,222.98149791329203,493.4695237306494,481.2539412139309
2020-02-28,3115.7040072637183,2954.219970703125,419.93943918095533,504.29801501939727,127.7587742658903,191.39878690015811,292.237324457257,378.29812829854365,220.75867757548818,488.1083501068221,492.906511459206
2020-03-02,3266.191842686891,3090.22998046875,440.77481362461447,526.4501935736783,131.11681577015273,201.82120608285345,298.2651860848981,392.3586604508504,233.44624963170008,516.2546517098198,525.7040657583237
2020-03-03,3142.8539462905937,3003.3701171875,423.7298115727337,509.0031617710633,129.568332632797,201.4624585657587,282.246561648323,378.87999858874207,224.95456679664431,492.49643054358177,500.51262417094995
2020-03-04,3274.2879275031737,3130.1201171875,439.17029928742227,531.6667780448183,133.05241282325414,211.1485262855833,291.15928392579093,391.6271161306833,233.29640256999204,524.2780899556504,518.889018479979
2020-03-05,3185.2833655919258,3023.93994140625,424.52043051261245,512.9338609794296,129.64935455881076,208.08976578376237,281.1533459315373,372.56717485665416,223.23124936774363,527.2708263699798,505.8673572313955
2020-03-06,3099.654641514812,2972.3701171875,415.66075793671257,492.09677613732975,129.67636186748203,203.29393781902834,274.95846459249213,366.7401624773095,218.58579990664882,507.07450615968645,491.5678746181224
2020-03-09,2879.331212274972,2746.56005859375,381.6172712654159,446.8280496747399,121.22273082371612,190.56800924171415,257.3607636584609,343.33891579268715,202.70138255671625,477.44102546006013,458.2530638014616
2020-03-10,3039.477108867729,2882.22998046875,405.9174315560043,485.68202093774386,124.94089267223949,195.19389886484979,270.55525135470987,361.65034900023625,210.84339048976236,495.1036165335308,489.5902574586523
2020-03-11,2903.559147765335,2741.3798828125,383.9426461349919,460.62201861404446,118.26081482954744,191.04003938306337,258.48435291410783,343.2965409060639,201.07796952055912,479.42391224517775,467.4108532177791
2020-03-12,2651.834549092479,2480.639892578125,354.6894260178371,416.4491664173952,113.02118402093285,176.25605189875392,234.53992611494715,314.9099870758207,182.02163057435172,436.8647709222384,423.08240605020194
2020-03-13,2934.800642921516,2711.02001953125,387.1981567594365,490.24103625626697,114.98379525129877,183.26097746775028,258.54507682360844,344.5167238700264,193.16071312526051,479.66260499446713,483.231558373401
2020-03-16,2570.1572561848275,2386.1298828125,354.7126669928672,417.954226533357,102.92003846228776,167.41964707648793,221.69465302682582,306.2725439531505,176.95160173520776,410.2239706057797,412.0079077988638
2020-03-17,2717.4676466894693,2529.18994140625,366.7348862930913,455.6246089960926,102.10078700202222,180.14559005901882,226.8722409121274,316.29118771311965,184.64406848312976,439.12307888320856,445.9311983476586
2020-03-18,2598.390153103413,2398.10009765625,351.4803973434527,430.4915186592954,93.66515854117273,170.3273544758251,223.13710651996107,309.79476245843716,179.0994985421576,413.2350852411811,427.15927132193
2020-03-19,2641.604441452406,2409.389892578125,368.57191682779825,449.3413587084196,100.45327248714305,170.04413350997223,232.50533920746,315.0173206983253,175.10341810648856,396.3803234430342,434.1873584637648
2020-03-20,2526.6134141890075,2304.919921875,348.6667136214123,431.558229068881,98.63470252588824,164.1532065652727,227.34292650747813,302.8802773987857,164.91339870442164,370.5841088440433,417.87985095282465
2020-03-23,2509.1987163500107,2237.39990234375,334.1331206865622,448.990634350266,92.35974805045156,180.2588726832733,224.86802754350148,298.4457748209487,158.91927805091808,357.5115905456393,413.71166961845006
2020-03-24,2719.9734312057412,2447.330078125,364.7350624859597,452.9797950505,102.98305780538512,178.04977507901097,244.42439312197774,320.43192785480534,175.75278713191435,429.30033995391443,451.3162927222733
2020-03-25,2677.5350592535874,2475.56005859375,353.0384297305847,447.00338955729035,106.53916206469444,169.25112632975754,237.18186795854965,311.4019050257948,179.0994985421576,427.02365377187226,446.99602627288607
2020-03-26,2867.1428559422325,2630.070068359375,398.4297216373772,471.49353726270067,117.36953243183646,187.3015543252822,248.00770615628164,328.1400886794531,185.39334190129907,456.05126951890094,474.95610402910137
2020-03-27,2731.4905791951865,2541.469970703125,378.7570701109107,446.886466573555,113.1742300157988,180.07006350777695,238.0624920715286,313.7236626461658,183.64504361050885,421.7175307645184,455.45401989442314
2020-03-30,2852.5299458330423,2626.64990234375,394.89517738295297,465.2394954244352,115.95609957502352,184.45050264328898,251.97060733757442,323.9230461585182,191.53731914391793,437.0667352449646,487.4909629223665
2020-03-31,2819.2656231729798,2584.590087890625,379.64068843331444,465.02027597819455,114.44362847209388,189.13303357855185,253.26121630462535,328.43950569770874,187.21654466812873,422.2866953061337,479.8240347342286
2020-04-01,2689.5923292968787,2470.5,359.6889677944637,440.13561353704563,109.39305569277134,184.14839643832147,242.32908230498998,312.2859851461419,178.35024417880285,400.47466051403103,462.786323690311
2020-04-02,2738.155661268185,2526.89990234375,363.3863408037171,444.1539826866872,111.35566692313726,193.13585436307122,240.18819959559946,316.58491567011185,183.4702156869113,413.5104784014527,472.3700071374973
2020-04-03,2678.0554645725156,2488.64990234375,353.8057722130287,429.03029351397123,109.14997617754352,194.15544119701153,234.09959089023582,310.099799579638,178.72486183307294,400.97039621810086,468.01933294991306
2020-04-06,2886.077764645004,2663.679931640625,386.1285041895781,466.3207877621983,113.80443031536555,201.10372545388066,251.36327556968095,335.2494499467486,188.41537832623672,440.86730093461773,502.8249121466979
2020-04-07,2862.1463480539574,2659.409912109375,381.640512240446,451.4162734426705,113.85844493270807,200.74497793678592,256.34347020471733,335.13363445108746,185.39334190129907,440.20632933438486,497.4093636098584
2020-04-08,2932.999373628721,2749.97998046875,399.3366164172156,463.4713808915951,114.92978063395626,201.65128214647177,264.6184871754305,341.84755424183135,193.21067484903955,451.5346255813797,502.39897169180136
2020-04-09,2969.3218019834644,2789.820068359375,413.7306925370759,465.6924716520415,120.2324307856682,199.7631615810749,266.0001935908433,342.1780025033425,196.4325200594643,462.86294984395545,502.42937942999833
2020-04-13,2960.181768692544,2761.6298828125,401.289958274287,468.54183392959214,117.5946024955546,206.3715835599639,265.392838654728,343.90382233657255,194.3595467833685,459.1725134028301,503.55506925564754
2020-04-14,3086.14481635805,2846.06005859375,414.14927846445,497.9416767186265,120.46649870654792,211.526144636576,270.52487781584864,358.49816083119094,204.7743367779975,479.7911404796478,528.4727019271652
2020-04-15,3019.21122272303,2783.360107421875,394.0347645531747,485.93040424033956,119.45818921699033,214.3205694116587,268.7028593439464,356.58877395452544,194.6342790997096,462.60590688917495,522.9354760135101
2020-04-16,3066.462119787925,2799.550048828125,390.5467022488107,500.76187513982217,119.92633879593629,222.9870358923263,267.60964362716066,356.87122722646814,196.45750092135384,472.66733856775846,538.6344573682885
