,allocation_weight,allocation_discrete,ticker,buy_investment,buy_price
0,0.02391,11.0,CMCSA,499.0699882507324,45.369998931884766
1,0.05,4.0,PAYC,1087.199951171875,271.79998779296875
2,0.02138,1.0,AVGO,322.3900146484375,322.3900146484375
3,0.05,5.0,MCD,1003.9499664306641,200.7899932861328
4,0.05,3.0,NOW,873.719970703125,291.239990234375
5,0.05,5.0,EL,1031.2999725341797,206.25999450683594
6,0.05,3.0,FICO,1148.7600402832031,382.9200134277344
7,0.05,8.0,WIX,1020.4000244140625,127.55000305175781
8,0.01233,1.0,BABA,219.77000427246094,219.77000427246094
9,0.05,5.0,HD,1098.3000183105469,219.66000366210938
10,0.04545,5.0,UI,950.6500244140625,190.1300048828125
11,0.03864,5.0,IT,780.1999664306641,156.0399932861328
12,0.01251,3.0,TSLA,258.156005859375,86.052001953125
13,0.05,13.0,AAPL,976.1375198364258,75.0875015258789
14,0.04661,3.0,NFLX,989.4299926757812,329.80999755859375
15,0.05,3.0,COST,874.469970703125,291.489990234375
16,0.05,14.0,MTCH,1020.5367889404297,72.8954849243164
17,0.04858,5.0,FB,1048.8999938964844,209.77999877929688
18,0.05,8.0,FISV,924.1599731445312,115.5199966430664
19,0.01992,3.0,PEP,407.46002197265625,135.82000732421875
20,0.03027,7.0,GIB,589.6100234985352,84.2300033569336
21,0.05,3.0,LMT,1198.1099853515625,399.3699951171875
22,0.00196,,PANW,,235.41000366210938
23,0.04843,11.0,SBUX,982.849983215332,89.3499984741211
24,0.05,13.0,ZEN,1039.869972229004,79.98999786376953
