,allocation_weight,allocation_discrete,ticker,buy_investment,buy_price,shares_bought
0,0.04999,1.0,AMZN,162.85992638183595,1898.010009765625,0.08580562038339652
1,0.05,3.0,AVGO,162.89250488281252,322.3900146484375,0.5052653540167641
2,0.05,5.0,BABA,162.89250488281252,219.77000427246094,0.741195348391884
3,0.00682,,BKNG,22.218537666015624,2074.580078125,0.010709896378691094
4,0.05,22.0,CMCSA,162.89250488281252,45.369998931884766,3.590313174293161
5,0.05,3.0,COST,162.89250488281252,291.489990234375,0.5588270964359271
6,0.05,5.0,FB,162.89250488281252,209.77999877929688,0.7764920670734999
7,0.05,2.0,FICO,162.89250488281252,382.9200134277344,0.42539564183305345
8,0.05,12.0,GIB,162.89250488281252,84.2300033569336,1.9339012037377965
9,0.05,4.0,HD,162.89250488281252,219.66000366210938,0.7415665217477684
10,0.05,4.0,INTU,162.89250488281252,266.1600036621094,0.6120097033422229
11,0.05,2.0,LMT,162.89250488281252,399.3699951171875,0.407873668213394
12,0.05,5.0,MCD,162.89250488281252,200.7899932861328,0.8112580822226781
13,0.0463,6.0,MSI,150.83845952148437,161.6300048828125,0.9332330320156064
14,0.05,14.0,MTCH,162.89250488281252,72.8954849243164,2.234603488157536
15,0.05,3.0,NFLX,162.89250488281252,329.80999755859375,0.49389802034085756
16,0.05,4.0,PAYC,162.89250488281252,271.79998779296875,0.5993101994062209
17,0.05,7.0,PEP,162.89250488281252,135.82000732421875,1.1993262855152735
18,0.04879,7.0,SNPS,158.95050626464842,142.8699951171875,1.112553452068582
19,0.02102,3.0,TTWO,68.48000905273437,122.08000183105469,0.560943709253078
20,0.05,5.0,UI,162.89250488281252,190.1300048828125,0.8567427586361872
21,0.02707,9.0,VZ,88.1900021435547,61.04999923706055,1.4445536977176363
