,allocation_weight,allocation_discrete,ticker,buy_investment,buy_price
0,0.04999,1.0,AMZN,1898.010009765625,1898.010009765625
1,0.05,3.0,AVGO,967.1700439453125,322.3900146484375
2,0.05,5.0,BABA,1098.8500213623047,219.77000427246094
3,0.00682,,BKNG,,2074.580078125
4,0.05,22.0,CMCSA,998.1399765014648,45.369998931884766
5,0.05,3.0,COST,874.469970703125,291.489990234375
6,0.05,5.0,FB,1048.8999938964844,209.77999877929688
7,0.05,2.0,FICO,765.8400268554688,382.9200134277344
8,0.05,12.0,GIB,1010.7600402832031,84.2300033569336
9,0.05,4.0,HD,878.6400146484375,219.66000366210938
10,0.05,4.0,INTU,1064.6400146484375,266.1600036621094
11,0.05,2.0,LMT,798.739990234375,399.3699951171875
12,0.05,5.0,MCD,1003.9499664306641,200.7899932861328
13,0.0463,6.0,MSI,969.780029296875,161.6300048828125
14,0.05,14.0,MTCH,1020.5367889404297,72.8954849243164
15,0.05,3.0,NFLX,989.4299926757812,329.80999755859375
16,0.05,4.0,PAYC,1087.199951171875,271.79998779296875
17,0.05,7.0,PEP,950.7400512695312,135.82000732421875
18,0.04879,7.0,SNPS,1000.0899658203125,142.8699951171875
19,0.02102,3.0,TTWO,366.24000549316406,122.08000183105469
20,0.05,5.0,UI,950.6500244140625,190.1300048828125
21,0.02707,9.0,VZ,549.4499931335449,61.04999923706055
