Date,total,SP500,ACN,ADBE,BABA,DEO,EA,FB,GRMN,INTU,MSFT,SWKS
2020-01-02,3257.85009765625,3257.85009765625,488.67751464843747,488.67751464843747,488.6775146484375,247.75949992675783,150.57783151367187,488.6775146484375,33.360385,488.67751464843747,322.85294467773434,59.911863295898435
2020-01-03,3234.772192098887,3234.85009765625,487.8636547335286,484.84911190257645,482.51817180311645,247.25432857651668,150.3814386943528,486.0917946432833,33.146667777042694,485.40938507383646,318.8328605724873,58.42477832214648
2020-01-06,3250.395282394509,3246.280029296875,484.67786703417437,487.62543076008194,481.71767946968396,249.20074141023457,152.59788417250363,495.24665459747257,33.13988421250898,489.1365219259441,319.6569851750568,57.39563363684777
2020-01-07,3237.7410622674206,3237.179931640625,474.2136801210823,487.1578726042981,483.91904186893083,247.06116548953818,152.05078836117102,496.31819374484184,33.08899841994993,489.2466791900528,316.7424303329142,57.94221213464149
2020-01-08,3273.4652606440723,3253.050048828125,475.1438513583555,493.7041327157969,484.7417578482921,250.3596745886578,153.5938793855093,501.3498708702748,32.9058111196327,501.01563250906315,321.78762484350847,58.86302540498124
2020-01-09,3306.7895532230204,3274.699951171875,479.3760151701334,497.4741185628427,493.1469103847176,252.36553268224165,153.41151768260042,508.52466183543225,33.041505703737194,504.72439114009876,325.80770894875553,58.91719111246071
2020-01-10,3310.2713637291963,3265.35009765625,482.8873539319322,496.53891306517,497.7052685631738,251.31059470099802,152.33134647373944,507.96557475094437,32.73619353654181,505.36701253484046,324.30017740928787,59.12892876256829
2020-01-13,3354.847729943066,3288.1298828125,487.3753103986596,505.04325411328944,512.4921021918997,249.51274967349724,154.05680990359255,516.9340723436377,33.10595862536367,506.81749122048683,328.1996638987068,61.31031757393282
2020-01-14,3324.381889307615,3283.14990234375,483.0501117219521,503.58202896796524,503.6200155863563,249.8396305875883,153.72013802798926,510.29505095216484,33.00418962840448,500.6484042745931,325.8881278065128,60.734191754088464
2020-01-15,3326.9712287440243,3289.2900390625,481.95718269465897,501.1125549049231,500.4402698985553,253.0341444895283,153.76222067461393,515.1636476819191,32.97026662941809,501.2359470372805,327.99864742512136,59.29634730800564
2020-01-16,3350.5355095598884,3316.81005859375,485.95683030892206,504.67794782695836,497.9498643853123,252.90042666241575,156.0768625624243,516.6079470972662,33.404487228025346,508.3413707280978,334.00868420395653,60.611088556509905
2020-01-17,3382.6849312785107,3329.6201171875,486.4684156188212,511.04886805590667,505.7101579682679,253.6284610578445,158.41955598044916,517.4698419173224,33.5978511692226,519.3208449772756,335.8780392617164,61.142895271684026
2020-01-21,3370.84388718069,3320.7900390625,486.35213977886144,511.42880086346776,494.2142221862174,252.27636479244276,157.69009846620767,515.8392156854652,34.12366412390901,523.2866745786725,334.6720017618192,60.960704943627086
2020-01-22,3379.7651384160145,3321.75,486.9567599536902,511.516470804743,494.45881800835593,251.072859004982,158.6440003299827,515.5596899157142,33.99814876884346,532.9625278172948,333.0639619855588,61.53190182684965
2020-01-23,3375.6648173577996,3325.5400390625,489.9099604907204,514.0005713890151,487.2544209366943,251.19172685299,159.1911068439213,511.925677184022,34.11348748302898,529.8412559177848,335.114213467061,63.12239679256167
2020-01-24,3345.0464571457787,3295.469970703125,485.0034535790234,513.4306721776735,475.2915171562956,251.3848899399685,157.57787094013793,507.68604898119344,33.78442895772723,528.9232413627715,331.73732686983345,60.22700718115463
2020-01-27,3285.0796746166,3243.6298828125,480.3061864074066,506.8989939943522,456.8802274165796,247.23945592568828,155.09488776322289,500.5345399818532,33.390917510799,520.9916381911391,326.18962184608324,57.553205579475865
2020-01-28,3336.182962692194,3276.239990234375,488.88682535332686,518.1942804212072,467.46448477709276,242.11340184085876,156.97466136577043,507.33660622401874,34.574847516088916,529.0701550690242,332.5815715222461,58.986128602559795
2020-01-29,3340.1448867720437,3273.39990234375,483.5849734892859,513.8544399558722,471.4447227983262,238.96348321968009,157.4095296510333,520.008962445856,34.10331084214896,524.9574677925362,337.76745302770405,58.050543549600455
2020-01-30,3314.1514647510876,3283.659912109375,484.53835021918457,521.277444073176,463.7955813742451,235.35294318557396,156.60992725734673,488.0951455981324,33.692836601648075,526.2610327719299,347.2950633986304,57.233140271220776
2020-01-31,3251.636446348881,3225.52001953125,477.19019259795186,513.0946189338025,459.3706329298226,234.6843313782873,151.39146502376866,470.34454831922767,32.88884832606004,514.7858508342632,342.1694500302788,55.716507975418175
2020-02-03,3301.0587055969813,3248.919921875,483.21290499437663,523.1186020260612,473.84619979862356,238.20572619431837,147.35137040871112,475.65575121441157,33.285755437493506,519.2290099030771,350.51114295115116,56.64224266875682
2020-02-04,3394.174866614096,3297.590087890625,494.2119181923979,535.8896955264179,495.59286860610297,241.6825257295881,150.1990769914439,488.7939955674957,33.53339565943721,534.1376133426695,362.0487647038933,58.08501229464999
2020-02-05,3386.49819534737,3334.68994140625,493.49105766001406,534.150834036038,489.6781215829205,242.60372321199532,151.25118596748445,489.4462460602386,33.25861600304082,532.0995918943358,361.6065529986515,58.912265932650364
2020-02-06,3418.043290235708,3345.780029296875,498.00229058417625,536.9417794147735,491.1901438076093,246.00625018001838,154.30931648594654,491.1700712453367,33.19416049325543,540.1781087722208,369.1040319379189,57.94713731445184
2020-02-07,3397.9989464634427,3327.7099609375,492.0028191627816,534.9399081005677,481.4730836475454,242.47000538488277,153.0327524577665,494.617686070547,32.634421951423704,541.0961233272342,369.6266318301102,56.1055145305838
