Date,total,SP500,CMCSA,PAYC,AVGO,MCD,NOW,EL,FICO,WIX,BABA,HD,UI,IT,TSLA,AAPL,NFLX,COST,MTCH,FB,FISV,PEP,GIB,LMT,PANW,SBUX,ZEN
2020-01-02,3257.8175191552737,3257.85009765625,77.89519583496094,162.8925048828125,69.65283508789062,162.89250488281252,162.89250488281252,162.89250488281252,162.89250488281252,162.89250488281252,40.16929170410157,162.89250488281252,148.06928693847655,125.8833277734375,40.75570472167969,162.89250488281252,151.8483930517578,162.89250488281252,162.89250488281252,158.2663577441406,162.89250488281252,64.8963739453125,98.61512245605468,162.89250488281252,6.3853861914062495,157.77768022949218,162.89250488281255
2020-01-03,3251.7756422451566,3234.85009765625,77.2771151934749,163.43787935901167,67.88121043444758,162.31651857657135,162.814210807534,161.66050683812145,162.46710924097945,164.64210841849678,39.66299372221618,162.35115317484352,147.0257138226396,125.83492548774774,41.963426309982594,161.3088581644197,150.04818148354323,163.02663498271085,162.01831719620697,157.428929225138,164.09108198972805,64.80558857627193,98.12338647618039,168.75364750346833,6.423902977263914,156.85945006193484,159.55279222222353
2020-01-06,3281.7855671484826,3246.280029296875,76.69337309311665,166.66217115813646,67.77966598198542,164.1418492615724,163.80417768612114,163.76122763254622,163.35192646389254,168.1030239128848,39.59719325240803,163.11497710241827,146.81545200331098,128.1583336795655,42.771417790892095,162.59420670230404,154.62006663558512,163.07133364664392,162.22890238820617,160.39388320230142,164.8807236768677,65.05404535479462,98.74390045503468,168.49668510092326,6.516939923561211,155.6233549271203,164.80673611628998
2020-01-07,3270.537925785713,3237.179931640625,77.13976757837081,167.50120177940602,67.54633330045934,164.3852291620024,163.8265547370673,162.72666548092826,165.26194874146861,166.03412903428656,39.77814524162612,162.04711950063634,144.54920177361964,126.31897296432267,44.43097127660238,161.8295186628071,152.28118120629793,162.81427795741726,163.25622124341092,160.74091901416276,164.24619171513922,64.0315288392282,98.80244321742039,169.06363547445181,6.554371910247011,155.1465844207939,160.22481155353995
2020-01-08,3307.0791322038167,3253.050048828125,77.92953437608872,169.67670072956992,66.70372731079284,167.0461546813875,165.35904988745037,164.0455358005927,166.47007080642913,170.8487540806762,39.845772495129616,164.4720338796584,144.8918665086801,127.98891336981266,46.617190425667005,164.4327549508534,156.19928956362673,164.68075841302732,165.17689049213567,162.37051151251964,164.69741707322774,64.36122000434342,99.69224139792897,167.64831334785868,6.471099812046552,156.94773391081318,162.50559737350073
2020-01-09,3349.92912240026,3274.699951171875,78.13555907344839,170.9772119096596,66.16792389641165,169.02562638262137,167.40611479746318,167.3940528853029,170.8006083066436,178.8944087519173,40.5366760336238,166.9933668428451,145.18779451177383,130.01383259331777,45.594175627026644,167.92544051041534,154.54180450907424,167.3240167186271,166.01916306544604,164.6941871464353,166.107497662012,64.40422129783855,100.89814727115468,169.2390181644276,6.51178661013546,159.86137036939354,165.2751174632451
2020-01-10,3341.334073703853,3265.35009765625,77.22561065648675,171.1509986990504,64.64691973401068,168.14946616836298,167.16561697303013,167.1255309123203,171.86409741122623,179.1242751346462,40.91137307589289,166.2740464115172,143.46669920598433,128.58590361627657,45.292007648101034,168.30507017064522,151.49847563728252,166.1057606873191,169.20325822280796,164.51311747600582,165.16273549140007,64.2799929085772,100.25421261439755,168.79035463992955,6.452112308495051,159.2080186930307,166.5784192070563
2020-01-13,3394.5155836933086,3288.1298828125,78.63345809569071,177.05420782110085,65.07037876000783,167.53290210343152,169.94537241615956,168.58656134127324,173.9527915704719,181.89555250723225,42.12685080017416,165.62146425144888,146.29367138700604,129.82827408505548,49.716540509419936,171.90080208607722,156.0427512599539,167.57547867959352,172.98076649366703,167.41771489635943,167.1368504673103,65.23561609287577,101.06205628698898,170.9072199737424,6.5348422140533335,160.83258701301355,170.63087258120106
2020-01-14,3377.1538066844037,3283.14990234375,79.02834149454968,171.70837108451502,66.5827390176508,168.1900315482373,168.63099803926337,170.34768613333642,171.33659798756284,182.2914659777225,41.397565281198496,165.22843490015512,144.12866625173538,128.16639662390088,50.95362829839165,169.57957782142793,155.93685150277028,167.50842215666916,172.66811090460666,165.26755716837442,165.75497751481595,65.38851930196016,100.65228374740326,169.7325542650337,6.509887694225305,160.67365452938495,169.49048743951184
2020-01-15,3383.458613374203,3289.2900390625,79.45756343453643,173.2545833516049,65.49384437937243,170.17761137391966,170.51585920012167,172.55107744832898,171.80453578998814,181.30810320460887,41.136190185661256,166.5484224036336,133.36593245155035,128.1502707352301,49.11409797954343,168.8528411622731,156.11181021000792,168.1063712428275,175.2523826479378,166.84433336258417,167.1086535890815,66.5113721690152,100.88643693220325,171.6944256133548,6.528874783889293,161.64487117300496,171.0381485499237
