Date,total,SP500,AMZN,BABA,BKNG,CMCSA,FB,FICO,HD,INTU,JNJ,KO,MCD,MTCH,PAYC,SNPS,TTWO
2020-01-02,3257.8826761572273,3257.85009765625,166.99739600585937,282.68365297363283,80.66436841796875,325.78500976562503,325.78500976562503,325.78500976562503,325.78500976562503,176.18453328125,30.33058440917969,45.67505836914062,325.78500976562503,325.78500976562503,325.785009765625,121.28975913574219,73.56225520507812
2020-01-03,3241.244124597532,3234.85009765625,164.97020620837992,279.12067844904277,80.31053602667023,323.19997989742745,324.06119642885557,324.9342184819589,324.70230634968703,175.00626363195383,29.9794248471318,45.42587385410679,324.6330371531427,324.03663439241393,326.87575871802335,120.3474219671881,73.64058819154978
2020-01-06,3262.984180213946,3246.280029296875,167.4258850543613,278.6576203172299,79.6075464185303,320.75856584323145,330.1644363983151,326.7038529277851,326.22995420483653,176.35002070503373,29.94202481287707,45.40926134187035,328.2836985231448,324.45780477641233,333.3243423162729,120.53419242971079,75.134974144334
2020-01-07,3275.0956259076174,3237.179931640625,167.77606570199524,279.93103508644754,80.41046610080232,322.62554403333667,330.8787958298946,330.52389748293723,324.0942390012727,176.3897360706537,30.12487470907108,45.060408090443346,328.7704583240048,326.51244248682184,335.00240355881203,121.36617465512222,75.62908477600176
2020-01-08,3309.6748841506806,3253.050048828125,166.4659600334349,280.40694885664203,80.21021675019755,325.9286255796266,334.2332472468499,332.94014161285827,328.9440677593168,180.6328360406009,30.12072126342224,45.14346748311281,334.092309362775,330.35378098427134,339.35340145913983,123.82813009167978,77.02102962675254
2020-01-09,3348.515560480532,3274.699951171875,167.26487542092121,285.269049427213,81.04191367382336,326.7902930717206,339.01644122362154,341.6012166132872,333.9867336856902,181.96996715237694,30.210067903410227,45.965769411996455,338.05125276524274,332.0383261308921,341.9544238193192,126.21368296283585,77.14154721818129
2020-01-10,3350.536580054316,3265.35009765625,165.69081319499824,287.9059076881773,81.14339106457781,322.98456987238285,338.64371650062964,343.72819482245245,332.5480928230344,182.2016535858945,30.141498003374025,46.123583525473514,336.29893233672595,338.4065164456159,342.3019973981008,126.03541031023235,76.3823024826463
2020-01-13,3395.8458612100326,3288.1298828125,166.4070166094926,296.4595980479409,80.89454837783907,328.8726812868704,344.6227148957585,347.9055831409438,331.24292850289777,182.72459950135953,30.274481187228396,46.62194938702845,335.06580420686305,345.96153298733407,354.1084156422017,127.28335774039245,77.40064969588201
2020-01-14,3365.089084429247,3283.14990234375,164.48364370994068,291.3273916828543,80.54382960526529,330.52422206001535,340.1967006347766,342.6731959751257,330.45686980031024,180.5004380211333,30.44486757590669,46.51396964174798,336.3800630964746,345.3362218092133,343.41674216903004,125.80618966004931,76.4847389874037
2020-01-15,3383.668527593816,3289.2900390625,163.8307980319324,289.48801479398435,80.29809104451128,332.31937864716195,343.4424317879461,343.6090715799763,333.0968448072672,180.71226677184086,30.54668089397959,47.09539489597237,340.3552227478393,350.5047652958756,346.5091667032098,125.56848415392562,76.29191543839374
2020-01-16,3414.110485292262,3316.81005859375,165.23152062246817,288.04739821809034,79.89333010303525,336.5559492885045,344.4052980648442,346.9867140146943,339.37051387543954,183.27400885983684,30.793947244560965,47.195066800878266,342.10754317635616,353.4910447162907,352.7659666481704,127.07961756598844,76.91256609310467
2020-01-17,3434.704043424612,3329.6201171875,164.06835463739085,292.53646937937737,79.8909948889917,341.0797515578503,344.9798946115483,344.54494718482687,343.95338954844533,187.2324753091404,30.995500328451538,47.29473870578416,343.9409696069897,351.84475678881233,355.0792952389204,128.9218417154363,78.34066392264604
2020-01-21,3431.305333174761,3320.7900390625,166.46860217670928,285.8864537273206,77.39786436892723,339.6436208097499,343.8928104569768,346.72297079388494,345.49583795612244,188.66228907476406,31.01628023897252,47.4857778437341,342.61051922611307,347.74819967703087,359.3224216928341,130.3820400838981,78.56964504772266
2020-01-22,3442.2689771404853,3321.75,166.06914448296615,286.0279442572337,77.79485550270144,340.6489041158454,343.70645994380953,349.6496948868235,345.4216767777848,192.1507566957287,30.804337199821457,47.85124677591026,343.06482177154726,346.9059271037205,363.51759308867764,130.25468952091708,78.40092501699844
2020-01-23,3441.266346769577,3325.5400390625,165.8157457582812,281.86044069784646,77.50012491073286,327.7956037697319,341.28378478934803,353.1464345999283,346.53402656040646,191.02543413355866,30.86251714459717,48.03398124199835,346.2773968450121,344.4173666029318,377.3856398818956,131.55359790263523,77.7742519306731
2020-01-24,3397.888118065423,3295.469970703125,163.79736310504967,274.94029962434513,76.32432565432333,320.1841299791407,338.4573659874623,348.2288620189018,344.0868660909645,190.6944592859912,30.818883771299983,47.90938898448143,342.74032349018455,336.0966260235312,377.33768482382544,130.781048530744,75.49049069517771
2020-01-27,3348.9994437989285,3243.6298828125,160.86744102215638,264.28998221957744,74.2219637769536,315.94755933779817,333.6896933212355,343.50698078019064,342.88553194666343,187.83485195584538,30.90823041128797,47.74326703062979,339.65752792315925,331.0173834788777,374.60483177769277,127.66539647535701,74.1588023415033
2020-01-28,3385.322874538291,3276.239990234375,163.0591633107751,270.4126222940556,74.55479348097016,316.2347909658014,338.2244041493459,347.9225896195449,346.8454944570988,190.74742657421885,31.064070228487743,47.352880914355325,341.36117484735325,330.68558223157453,381.86846846817684,129.08314465615848,75.90626834037383
2020-01-29,3390.3773066354233,3273.39990234375,163.4770945265993,272.71505731473843,73.64106029813948,311.0647312294062,346.67264163057075,348.27141716153875,347.0828011754535,189.26466572146904,31.280166713287645,47.352880914355325,347.93237026488333,322.02028799849,386.01568480595023,127.716331518958,75.87011536158322
