,allocation_weight,allocation_discrete,ticker,buy_investment,buy_price,shares_bought
0,0.1,27.0,AAPL,325.78500976562503,75.0875015258789,4.338738180725633
1,0.04361,3.0,ADBE,142.07484275878906,334.42999267578125,0.4248268572505873
2,0.01,1.0,CRM,32.5785009765625,166.99000549316406,0.19509251994063886
3,0.01,3.0,INTC,32.5785009765625,60.84000015258789,0.5354783184558678
4,0.01,1.0,MSFT,32.5785009765625,160.6199951171875,0.20282967231317248
5,0.01,1.0,NVDA,32.5785009765625,239.91000366210938,0.13579467500007314
6,0.01,4.0,ORCL,32.5785009765625,53.95000076293945,0.6038646990889768
7,0.01,2.0,QCOM,32.5785009765625,88.69000244140625,0.367330026832345
8,0.01,2.0,EA,32.5785009765625,107.33999633789062,0.30350756556773245
9,0.1,10.0,FB,325.78500976562503,209.77999877929688,1.5529841341469999
10,0.01,,GOOG,32.5785009765625,1367.3699951171875,0.02382566612760172
11,0.09994,6.0,NFLX,325.5895387597656,329.80999755859375,0.9872033630573059
12,0.01,6.0,TWTR,32.5785009765625,32.29999923706055,1.0086223450798848
13,0.1,29.0,ZM,325.78500976562503,68.72000122070312,4.740759662086218
14,0.1,7.0,MA,325.78500976562503,303.3900146484375,1.0738158608915933
15,0.1,19.0,PYPL,325.78500976562503,110.75,2.9416253703442443
16,0.1,11.0,V,325.78500976562503,191.1199951171875,1.704609763964603
17,0.09239,1.0,AMZN,300.99277052246094,1898.010009765625,0.15858334201284266
18,0.01,50.0,NIO,32.5785009765625,3.7200000286102295,8.757661485484892
19,0.06406,15.0,TSLA,208.6978772558594,86.052001953125,2.425253015839691
