Date,total,SP500,AMZN,AVGO,BABA,BKNG,CMCSA,COST,FB,FICO,GIB,HD,INTU,LMT,MCD,MSI,MTCH,NFLX,PAYC,PEP,SNPS,TTWO,UI,VZ
2020-01-02,3257.8175191552727,3257.85009765625,162.85992638183595,162.89250488281255,162.89250488281252,22.218537666015624,162.89250488281252,162.89250488281252,162.89250488281252,162.89250488281252,162.89250488281252,162.89250488281252,162.89250488281252,162.89250488281252,162.89250488281252,150.83845952148437,162.89250488281252,162.89250488281252,162.8925048828125,162.89250488281252,158.95050626464842,68.48000905273437,162.89250488281252,88.1900021435547
2020-01-03,3246.772832011242,3234.85009765625,160.88296153642045,158.7493228120851,160.83939060103882,22.121076563081218,161.59998994871373,163.02663498271085,162.03059821442778,162.46710924097945,162.08025516382625,162.35115317484352,161.80312835794552,168.75364750346833,162.31651857657135,153.4048503595273,162.01831719620697,160.9613618145712,163.43787935901167,162.66462996052192,157.71557125380355,68.55293019425936,161.7444596508687,87.25104554635925
2020-01-06,3268.3798181117777,3246.280029296875,163.27779933413032,158.5118474789182,160.572559823228,21.927442107204225,160.37928292161573,163.07133364664392,165.08221819915755,163.35192646389254,163.10522044108802,163.11497710241827,163.04550730864807,168.49668510092326,164.1418492615724,155.7752559952443,162.22890238820617,165.86576553913878,166.66217115813646,163.28826645279776,157.9603343713561,69.94407247625777,161.51314851849398,87.06325202270615
2020-01-07,3265.710347940645,3237.179931640625,163.61930402736522,157.96616768114907,161.3063472896436,22.148601728896278,161.31277201666833,162.81427795741726,165.4393979149473,165.26194874146861,163.20192140307302,162.04711950063634,163.0822263966843,169.06363547445181,164.3852291620024,154.65537920482677,163.25622124341092,163.35677022773865,167.50120177940602,160.72170893380576,159.0506489772606,70.40404614665887,159.02002395337698,86.09539817975711
2020-01-08,3292.4913538245423,3253.050048828125,162.34165708293818,155.99562046490377,161.5805859494307,22.09344419371354,162.9643127898133,164.68075841302732,167.11662362342494,166.47007080642913,164.67169044917242,164.4720338796584,167.00521083635442,167.64831334785868,167.0461546813875,154.8140271114687,165.17689049213567,167.55984720406218,169.67670072956992,161.549246998854,162.2770471977721,71.699824745542,159.39699285883404,86.25429996819166
2020-01-09,3319.571574056712,3274.699951171875,163.1207788195835,154.74257225540615,164.38230346157255,22.322530341497387,163.3951465358603,167.3240167186271,169.50822061181077,170.8006083066436,166.6636063283031,166.9933668428451,168.2414637133663,169.2390181644276,169.02562638262137,157.42708244911358,166.01916306544604,165.7818113163208,170.9772119096596,161.6571819724863,165.40331968188988,71.81201605518913,159.722546217573,85.01198290646889
2020-01-10,3306.7418900266634,3265.35009765625,161.5857150140063,151.18549984567514,165.9017561877246,22.350481706802125,161.49228493619142,166.1057606873191,169.32185825031482,171.86409741122623,165.59995476444922,166.2740464115172,168.45567084494687,168.79035463992955,168.14946616836298,156.12988910421214,169.20325822280796,162.51713756413062,171.1509986990504,161.3453637263484,165.1696929636378,71.10522578322521,157.82915204178698,85.21422505299878
2020-01-13,3351.658971962693,3288.1298828125,162.2841740208454,152.17581562209503,170.83070073063323,22.28193941586682,164.4363406434352,167.57547867959352,172.31135744787926,173.9527915704719,166.93435131646677,165.62146425144888,168.93916374016231,170.9072199737424,167.53290210343152,159.46152362370475,172.98076649366703,167.39192368585486,177.05420782110085,163.74401629737895,166.80513092005765,72.05321774169353,160.9391324389506,85.4453534242122
2020-01-14,3329.4733765936076,3283.14990234375,160.4084539418637,155.71267310021238,167.87333852878544,22.185335941353365,165.26211103000767,167.50842215666916,170.0983503173883,171.33659798756284,166.2574888460576,165.22843490015512,166.8828014248644,169.7325542650337,168.1900315482373,157.10044519190575,172.66811090460666,167.27832171505077,171.70837108451502,164.1278094928719,164.86929877823812,71.20058518667963,158.55738861577055,85.28645163577765
2020-01-15,3331.555455966398,3289.2900390625,159.77178294218302,153.1661468179898,166.81342329951843,22.117648664118214,166.15968932358098,168.1063712428275,171.72121589397304,171.80453578998814,166.64426318500705,166.5484224036336,167.07864901242687,171.6944256133548,170.17761137391966,159.16289645826285,175.2523826479378,167.46600537439173,173.2545833516049,166.94621528367273,164.5577851697564,71.02108337090507,146.71719741644705,85.37312133089829
2020-01-16,3358.558342260076,3316.81005859375,161.1378017151226,155.14172078305745,165.98328812843744,22.006159584115526,168.27797464425225,169.341374350817,172.2026490324221,173.49335700734716,167.3791550853044,169.68525693771977,169.44712357603262,173.63182553736843,171.05377158817808,161.31866248381795,176.74552235814534,167.24374523620975,176.3829833240852,167.437943452798,166.53812895634098,71.59885470669,146.3145272740595,86.19651649775454
2020-01-17,3380.430245967627,3329.6201171875,160.00345392749063,156.02089298428956,168.5700526560893,22.005516362799813,170.53987577892514,170.26343564912636,172.48994730577414,172.27247359241343,167.70791474886096,171.97669477422266,173.10694832575854,173.61550710539126,171.97048480349486,164.36099704178667,175.92237839440617,167.76234720111052,177.5396476194602,169.4168245037915,168.9523679101836,72.92828855863685,146.14318133690367,86.86101538671129
2020-01-21,3385.815251940918,3320.7900390625,162.3442337653862,155.6571013126185,164.73807406207249,21.318797859292555,169.82181040487495,175.05818168681438,171.9464052284884,173.36148539694247,166.39286134013943,172.74791897806122,174.42889152622422,173.81536121967454,171.30525961305653,165.12625496324236,173.87409983851543,166.99185242261308,179.66121084641705,170.13642759520738,170.86596120583903,73.14144990713598,145.94613416281732,87.13547860548502
2020-01-22,3390.1010117704004,3321.75,161.95467289706355,158.13289846340567,164.81960600278532,21.428146790324064,170.3244520579227,174.29259129334508,171.85322997190477,174.82484744341176,166.48954754762917,172.7108383888924,177.6541759390983,173.10974773994795,171.53241088577363,165.87284423685603,173.45296355186025,161.01075463111957,181.75879654433882,171.9594086732653,170.69906800229768,72.98438635329084,145.8690173791687,87.36660697669844
2020-01-23,3407.79138893103,3325.5400390625,161.7075522913866,161.50806732756365,162.41814031223143,21.34696493906293,163.89780188486594,174.8458246615208,170.64189239467402,176.57321729996414,167.24378259122255,173.26701328020323,176.61375197259497,174.8880709586464,173.13869842250605,165.21956972244033,172.2086833014659,172.6667509256781,188.6928199409478,172.28321359416233,172.4012904020836,72.40100866176921,146.41733222178158,87.40994182425875
