,allocation_weight,allocation_discrete,ticker,buy_investment,buy_price,shares_bought
0,0.15,14.0,ACN,488.67751464843747,210.14999389648438,2.325374869576014
1,0.15,9.0,ADBE,488.67751464843747,334.42999267578125,1.4612251453241936
2,0.15,14.0,BABA,488.67751464843747,219.77000427246094,2.2235860451756517
3,0.07605,9.0,DEO,247.75949992675783,166.75,1.4858140925142898
4,0.04622,9.0,EA,150.57783151367187,107.33999633789062,1.4028119680540594
5,0.15,15.0,FB,488.67751464843747,209.77999877929688,2.3294762012204995
6,0.01024,2.0,GRMN,33.360385,98.33999633789062,0.3392351661817804
7,0.15,11.0,INTU,488.67751464843747,266.1600036621094,1.8360291100266684
8,0.0991,13.0,MSFT,322.85294467773434,160.6199951171875,2.0100420526235387
9,0.01839,3.0,SWKS,59.911863295898435,121.66999816894531,0.49241279031423674
