,allocation_weight,allocation_discrete,ticker,buy_investment,buy_price
0,0.1,10.0,ACN,2101.4999389648438,210.14999389648438
1,0.1,6.0,ADBE,2006.5799560546875,334.42999267578125
2,0.1,10.0,BABA,2197.7000427246094,219.77000427246094
3,0.1,1.0,BKNG,2074.580078125,2074.580078125
4,0.1,12.0,DEO,2001.0,166.75
5,0.05983,11.0,EA,1180.7399597167969,107.33999633789062
6,0.1,10.0,FB,2097.7999877929688,209.77999877929688
7,0.02267,,GOOG,,1367.3699951171875
8,0.02486,5.0,GRMN,491.6999816894531,98.33999633789062
9,0.1,8.0,INTU,2129.280029296875,266.1600036621094
10,0.1,13.0,MSFT,2088.0599365234375,160.6199951171875
11,0.00845,1.0,SWKS,121.66999816894531,121.66999816894531
12,0.08419,13.0,TXN,1684.4100952148438,129.57000732421875
