,allocation_weight,allocation_discrete,ticker,buy_investment,buy_price,shares_bought
0,0.1,10.0,ACN,325.78500976562503,210.14999389648438,1.5502499130506762
1,0.1,6.0,ADBE,325.78500976562503,334.42999267578125,0.974150096882796
2,0.1,10.0,BABA,325.78500976562503,219.77000427246094,1.482390696783768
3,0.1,1.0,BKNG,325.78500976562503,2074.580078125,0.15703660379312456
4,0.1,12.0,DEO,325.78500976562503,166.75,1.9537331919977514
5,0.05983,11.0,EA,194.91717134277343,107.33999633789062,1.8158857647917432
6,0.1,10.0,FB,325.78500976562503,209.77999877929688,1.5529841341469999
7,0.02267,,GOOG,73.85546171386719,1367.3699951171875,0.054012785111273096
8,0.02486,5.0,GRMN,80.99015342773437,98.33999633789062,0.8235728741483457
9,0.1,8.0,INTU,325.78500976562503,266.1600036621094,1.2240194066844459
10,0.1,13.0,MSFT,325.78500976562503,160.6199951171875,2.028296723131725
11,0.00845,1.0,SWKS,27.52883332519531,121.66999816894531,0.22625818804542144
12,0.08419,13.0,TXN,274.2783997216797,129.57000732421875,2.1168355654666433
