,allocation_weight,allocation_discrete,ticker,buy_investment,buy_price
0,0.15,14.0,ACN,2942.0999145507812,210.14999389648438
1,0.15,9.0,ADBE,3009.8699340820312,334.42999267578125
2,0.15,14.0,BABA,3076.780059814453,219.77000427246094
3,0.07605,9.0,DEO,1500.75,166.75
4,0.04622,9.0,EA,966.0599670410156,107.33999633789062
5,0.15,15.0,FB,3146.699981689453,209.77999877929688
6,0.01024,2.0,GRMN,196.67999267578125,98.33999633789062
7,0.15,11.0,INTU,2927.760040283203,266.1600036621094
8,0.0991,13.0,MSFT,2088.0599365234375,160.6199951171875
9,0.01839,3.0,SWKS,365.00999450683594,121.66999816894531
