Date,total,SP500,ACN,ADBE,BABA,BKNG,DEO,EA,FB,GOOG,GRMN,INTU,MSFT,SWKS,TXN
2020-01-02,3257.85009765625,3257.85009765625,325.78500976562503,325.78500976562503,325.78500976562503,325.78500976562503,325.78500976562503,194.91717134277343,325.78500976562503,73.85546171386719,80.99015342773437,325.78500976562503,325.78500976562503,27.52883332519531,274.2783997216797
2020-01-03,3235.1367868246366,3234.85009765625,325.24243648901916,323.2327412683844,321.67878120207763,324.3559613355018,325.12074763513044,194.66294844403131,324.06119642885557,73.49303803564497,80.47130477903137,323.60625671589105,321.7284163193616,26.845534356831852,270.6374238148756
2020-01-06,3245.7778200655375,3246.280029296875,323.11857802278297,325.0836205067214,321.145119646456,321.5167464399447,327.6801333467911,197.5320512773884,330.1644363983151,75.30516302011364,80.45483608622786,326.09101461729614,322.5600254036901,26.372653846186168,268.7534414536242
2020-01-07,3242.792448802607,3237.179931640625,316.1424534140549,324.77191506953216,322.6126945792872,324.7595561421742,324.8667527804579,196.82385693744834,330.8787958298946,75.25817216080114,80.33129889843312,326.1644527933686,319.6190013450194,26.623800573013625,273.93969827912167
2020-01-08,3271.4549534666144,3253.050048828125,316.762567572237,329.13608847719803,323.1611718988614,323.9507946292308,329.2040428516211,198.82132850789748,334.2332472468499,75.85123148638571,79.88656879238953,334.01042167270884,324.7100149783134,27.046904006095236,274.6805713468266
2020-01-09,3303.981479215658,3274.699951171875,319.5840101134223,331.64941237522856,328.7646069231451,327.30982905421394,331.8415945854591,198.58526834595375,339.01644122362154,76.68897031093016,80.21599919872135,336.4829274267326,328.7666084245768,27.071792544877272,278.00401868877594
2020-01-10,3301.9721213869675,3265.35009765625,321.92490262128814,331.0259420434468,331.8035123754492,327.71967312026584,330.45443090203554,197.18702854876312,338.64371650062964,77.22369820220328,79.47478235531536,336.91134168989373,327.24538588222805,27.169083634785324,275.1886235106636
2020-01-13,3332.5442117872017,3288.1298828125,324.91687359910645,336.695502742193,341.66140146126645,326.7146541915956,328.0904006226131,199.42057413526487,344.6227148957585,77.73681966076037,80.37247377212312,337.87832748032463,331.18028647699987,28.17140747687506,275.0827752723208
2020-01-14,3311.03947277814,3283.14990234375,322.03340781463476,335.7213526453102,335.7466770575709,325.2981809582605,328.5202243097808,198.98476543086537,340.1967006347766,77.28581422375275,80.12540567989603,333.7656028497288,328.84775762513914,27.90668408494005,276.6068994634846
2020-01-15,3312.1054571866025,3289.2900390625,321.30478846310604,334.0750366032822,333.62684659903687,324.30569888736386,332.7207685595376,199.0392397871517,343.4424317879461,77.73519769480122,80.04304964915367,334.15729802485373,330.977444424946,27.246010590138535,273.43164611528465
2020-01-16,3332.867749029994,3316.81005859375,323.9712202059481,336.4519652179723,331.9665762568749,322.6709616439227,332.54493972704245,202.03545406987985,344.4052980648442,78.41035750869213,81.09722192272558,338.89424715206525,337.0420627688765,27.850119537928695,275.52732495322164
2020-01-17,3361.9139362291703,3329.6201171875,324.3122770792142,340.6992453706045,337.1401053121786,322.6615302463316,333.5022499116956,205.0679799720959,344.9798946115483,79.95998774208049,81.56665820965564,346.2138966515171,338.92839481505194,28.094478795308866,278.78723751188744
2020-01-21,3341.605494488758,3320.7900390625,324.23475985257437,340.9525339089786,329.47614812414497,312.59234397789675,331.72434555219303,204.12372547021215,343.8928104569768,80.1765795378453,82.84319239456815,348.85778305244844,337.71140440143216,28.01076437050837,277.0091033889788
2020-01-22,3353.4184862004904,3321.75,324.63783996912684,341.0109805364954,329.63921200557064,314.1957007378895,330.1418264365313,205.35851449032597,343.70645994380953,80.26029539875323,82.53847445248519,355.3083518781966,336.0887608330564,28.273222971010306,282.2588465472389
2020-01-23,3352.4548986614604,3325.5400390625,326.606640327147,342.66704759267685,324.83628062446286,313.00535101265297,330.2981286692834,206.06672268437495,341.28378478934803,80.29810830434566,82.81848621368168,353.22750394518994,338.15763215646933,29.00403767793073,284.1851746638969
2020-01-24,3316.29757513211,3295.469970703125,323.335635719349,342.28711478511576,316.8610114375304,308.25656564750943,330.55212352395597,203.97845128404265,338.4573659874623,79.22108994068094,82.01961952041981,352.6154942418477,334.750077567945,27.673638427447344,276.2893870488036
2020-01-27,3250.8599325890964,3243.6298828125,320.2041242716044,337.9326626629016,304.5868182777198,299.76560491499845,325.1011912237848,200.76432572206028,333.6896933212355,77.448933889726,81.06427825375616,347.32775879409286,329.1519897538682,26.445056397312186,267.3774951060361
2020-01-28,3292.7769300647956,3276.239990234375,325.9245502355513,345.4628536141382,311.64298985139516,301.10982827532376,318.3608176737131,203.19761985101786,338.2244041493459,78.45681430604247,83.93854582519242,352.7134367126829,335.60198942709,27.10346855310659,271.03961159019616
2020-01-29,3286.0279836116133,3273.39990234375,322.38998232619065,342.56962663724823,314.2964818655508,297.41946808618536,314.21891284639065,203.76054000478842,346.67264163057075,78.78466901059058,82.79378003279521,349.9716451950242,340.8349677373402,26.673577650577695,265.64169058836046
2020-01-30,3262.7168322676694,3283.659912109375,323.02556681278975,347.51829604878407,309.1970542494967,293.9866502276085,309.47132568780273,202.7254856730215,325.3967637320883,78.63397123025571,81.7972576090792,350.84068851461996,350.44910534675125,26.297989956053048,263.37667717931805
2020-01-31,3198.8028796860194,3225.52001953125,318.1267950653013,342.06307928920177,306.24708861988177,287.4633627413071,308.5921517137243,195.9703884113388,313.5630322128185,77.466755735204,79.84538763533716,343.1905672228422,345.276942512895,25.60111432258203,255.39621420358526
