Date,total,SP500,ACN,ADBE,AMZN,FICO,HD,KO,LOGI,MCD,MSFT,MTCH,NVDA,PAYC,SNPS,TTWO
2020-01-31,3373.264238950216,3225.52001953125,39.2886591905647,302.2811431678676,344.75340531380965,342.30716673573477,123.75111166490396,27.575191954708263,267.98103387829804,347.1350687084146,106.89774140199228,274.6815503042028,321.0272342227582,381.3530704756455,241.44319437666627,252.7886675546498
2020-02-03,3419.789022001936,3248.919921875,39.78452917787034,308.18660574028695,343.9776415696289,353.74914960987155,125.6174081426371,27.660184126582244,270.20269406040325,349.0981030800502,109.50378391289244,279.82359659538616,326.3227093796591,387.7177418670202,245.94437266465718,252.2005020749902
2020-02-04,3496.065724275549,3297.590087890625,40.69011459784076,315.71048262446374,351.78158013152523,358.64071028596356,127.49456581800682,27.7829495963914,273.3850740162864,348.18958884969095,113.10827200032834,286.44280882343304,335.5558280195842,404.8220417896367,255.02857384096836,257.4331338814297
2020-02-05,3441.1497706655914,3334.68994140625,40.630763747341156,314.68606135843123,350.099634329792,349.4786138092296,129.18183465847707,27.78767058317735,275.18644363431537,347.7840003714837,112.97011988736885,268.9757110297539,340.484667698802,386.55507861701244,252.40972145868926,244.919449481718
2020-02-06,3435.993138523622,3345.780029296875,41.00218859143051,316.3303003125569,351.8777020948584,351.95417197981357,129.57787928967534,27.853777006691676,275.0062929292928,345.3504695022404,115.31242006859708,275.65132364601607,345.22343539156714,348.4509258966473,253.32632104126023,259.07593077297423
2020-02-07,3399.8989822062754,3327.7099609375,40.50823211106902,315.15093119231454,356.8635156498075,355.2549162072589,128.74238662849172,27.94821115213755,270.92322816439514,343.3063124839322,115.47568639213132,271.3888462295965,341.61165327794845,351.8310442002564,252.5242839187779,228.36973459815866
2020-02-10,3440.149686842572,3352.090087890625,40.693944533113694,318.5168830276709,366.2395553199419,357.05840920704003,130.53815982675374,28.212631442547252,271.76385510328004,345.9020886465209,118.49617565999064,266.5174434679741,357.0635485794916,357.17688093684217,256.8454140762306,225.1246970151744
2020-02-11,3445.08223190806,3357.75,40.61544692763406,317.8970653395777,369.1383825506816,350.2782797184145,131.0969651338156,28.137083045461033,274.82616512963637,349.9904026831373,115.82106667453006,263.3149438604172,363.74399671201905,353.30536045923265,258.97324880746487,227.9438248660382
2020-02-12,3470.3830187545823,3379.449951171875,40.58672971654865,322.2099645138617,370.71735549936716,349.27445262781833,131.06983697477966,28.05209087358705,275.3665714339718,352.79709277604377,115.9906187371475,266.686584375795,370.0578093668633,355.22312383413924,261.10108353869913,231.2497044859597
2020-02-13,3468.7023179785965,3373.93994140625,40.665224400643645,322.6834250476986,368.978779866141,355.6717539398046,131.48758744454742,28.14652682024879,264.4984103824993,352.73218475664316,115.36265807166592,265.57023630712945,367.6680488256174,363.5295909979431,264.1291339471592,227.578757170855
2020-02-14,3525.2357654033535,3380.159912109375,40.65948095842656,326.84137636777274,366.4043537862843,361.1928288995768,132.93614173086468,28.307067389208992,264.19818974794987,352.19680499479085,116.39251317977894,268.3216533226138,393.48004834623214,376.8822032196381,267.3700002968478,230.05310316336792
2020-02-18,3538.7818868297154,3370.2900390625,40.92560449289502,326.13546778136725,369.97419109584604,366.2715459791268,132.3447859443005,28.10875172109775,258.7340917398319,350.6717883559067,117.57307271517917,267.28424169471975,402.68600496585657,381.3530704756455,266.66616670457444,230.05310316336792
2020-02-19,3580.2584747488313,3386.14990234375,41.339149860832734,329.94905550819226,372.47139277360026,367.31792395684573,132.18202526843692,28.222075217335014,258.4338711052825,349.82818214494813,117.60447266483712,266.3483025601532,427.30312421584836,388.9283601750981,270.0543383495765,230.2762009478443
2020-02-20,3519.7758313325035,3373.22998046875,40.95240819703628,326.2301493796332,369.53313626321955,357.3986864965565,134.01577954501957,28.198466680973542,256.87268715703954,348.93588254186096,115.80850477828302,263.3713442486325,419.15625848389396,371.9678522687087,253.8337225976502,233.50095269399623
2020-02-21,3444.9212896472786,3337.75,40.56758296156862,321.05642003598757,359.72798367830956,348.3471859802513,133.10432472719467,28.392059561082974,254.95124760948374,350.2175312407271,112.14749294869507,257.31592500385125,399.2914775775422,360.0535991571854,244.4221679954873,235.3262911699123
2020-02-24,3331.6850165380524,3225.889892578125,39.125920537388346,307.67870359287434,344.8512452372547,342.58788836017527,130.0444554786966,27.693236437731475,242.46189055037107,346.40501439867285,107.31219774087076,249.85094797987477,371.0625762139317,354.5159421883189,238.87344375949166,229.22155406239958
2020-02-25,3248.7186472773255,3128.2099609375,37.735952014546456,299.4058595375092,338.5782186423773,332.0986922812819,128.7857900272788,27.301327889510798,235.13638795946073,344.10127481307455,105.54135364681075,240.1757958069171,355.81434426826706,346.29342381038157,232.68637160167225,225.06385497823715
2020-02-26,3253.6012494219435,3116.389892578125,37.46216860953212,302.4532986932385,339.75386902869855,332.08166154183556,127.64647357458566,27.197448168061296,235.55670142890318,340.8565669874167,106.86006529517047,235.90205036421943,363.41809390551157,349.9012829160843,232.48993956578886,222.02162934289697
2020-02-27,3116.547159487421,2978.760009765625,35.695031800383795,290.5562563788338,323.399412531894,311.44354667356527,121.92277970878774,25.936733953957027,231.23345099421954,326.09313647861114,99.33081346655534,228.03112311010779,342.98305560270006,337.2438178519526,223.9622666864376,218.7157342494157
2020-02-28,3148.2083052119406,2954.219970703125,34.57501382589865,297.09877058176096,323.30500852867266,319.8910530538667,118.18474787615132,25.25679838018105,233.9354825158968,315.01245628337097,101.73590396518013,229.97066979373432,366.7040146497247,338.7900484085383,225.7627230163547,217.98561433260903
2020-03-02,3261.901921604032,3090.22998046875,36.29045965509325,310.14935737403977,335.35331420210883,329.27434145145827,124.74936500195115,26.404189098048054,241.20092723667756,328.6077899945272,108.50531917251803,236.98457928984456,375.3396724357874,349.94920139516285,231.81887378420578,227.27453151260903
2020-03-03,3178.3997053235425,3003.3701171875,34.8870878194884,299.8707293713925,327.63690780298623,316.9816264112907,123.6643048673298,26.47029552156238,238.49891862036648,323.6758202366399,103.30580562888409,229.0911159831768,361.0283748013676,338.37052395315567,229.3473017217747,225.5708925841272
2020-03-04,3325.557001176618,3130.1201171875,36.158354641331094,313.2226211721374,339.1085445486225,333.11103474160126,130.7931496206579,27.82072289432658,248.04608139338202,335.8597139652849,107.09869341426766,233.4889001001706,386.3108081595964,352.0228278535454,240.3138288037977,242.20171986789634
2020-03-05,3221.112176896253,3023.93994140625,34.95218211220509,302.186435298348,330.2182057232905,323.60863501385774,127.3914837806815,26.791376659482783,241.92148424603562,321.7452398747046,104.41102253256004,227.17412041631266,371.0761675833576,338.32260547407714,233.47202481880944,237.84119336253013
2020-03-06,3137.6535393345703,2972.3701171875,34.222735736789325,289.9106140483723,326.2810392107817,304.493265559435,123.97354270095393,26.092551734915414,238.9192320898089,322.62130009536355,101.45960932118047,223.45291499480874,361.23203815724605,320.88265672396113,225.41901066062334,238.69302830033078
2020-03-09,2909.10963578091,2746.56005859375,31.41982200085257,263.2412983317118,309.0358203959655,268.70404930377396,114.18088160867786,24.487147846529275,224.9887839173463,303.1530531414166,94.58343236862169,213.3943787726845,333.2611241901156,288.6757324605095,209.01834677815876,230.96576466454607
2020-03-10,3065.9865516288646,2882.22998046875,33.42053519811102,286.1314679351229,324.690040541313,286.3136781223024,122.44903453634724,25.337067764053216,235.7968870986892,324.24365400819244,101.05142913946584,222.88909188313067,354.49726598411706,287.0456079865447,221.2779286337089,240.8428627977654
2020-03-11,2918.073192434368,2741.3798828125,31.611277865114328,271.3677852328208,312.51129560377206,267.5811368445188,115.4992256986339,24.652409402275424,224.62850541266727,305.4081240900426,96.47360010414961,212.08630855102317,334.65966781661706,264.5115408309716,215.63100086750427,241.45131411425734
2020-03-12,2619.4299004555796,2480.639892578125,29.20276274213525,245.34408557536813,287.75389813581666,237.4576270264583,103.40080354193564,22.26791120544975,204.93373859753729,276.0110791112326,87.3242086087617,187.12039952612088,293.7080844315407,230.11113904295374,195.0237817754084,219.77038113486043
2020-03-13,2868.708607789897,2711.02001953125,31.879314906526933,288.8173358264421,306.35670350294924,258.2318580028338,111.58215795038272,22.88646494492908,221.26597475176155,287.36755650103504,99.73899364826998,192.8262388005698,327.01518550819685,271.6313489262369,212.58656655369907,236.52290796606385
2020-03-16,2485.6341520643155,2386.1298828125,29.204676249079395,246.23076665835177,289.9061250428115,204.74796307738495,89.4957635460425,21.370772413987005,203.49264748418733,241.74694763877986,85.0384321696855,168.8639222605212,266.6740633385532,235.25323079597678,184.54830980762839,219.06053158132636
2020-03-17,2649.2654996245274,2529.18994140625,30.194505638131176,268.42364464656475,310.27669041433916,209.0100094697968,94.2049205566902,22.277354980237508,219.9449993786708,239.49187669015393,92.04019933895674,176.57697663309,295.0115920648159,259.80097144259673,195.7930760626659,236.2186823078179
2020-03-18,2487.7507644486354,2398.10009765625,28.938552714610935,253.61690335947964,314.0799817425194,180.34971536200092,84.43395702463175,21.177179533877574,227.9309782034434,222.74919718244075,88.16567360084636,157.10264867708474,275.39122790406924,230.60257779594585,186.97076761722226,216.24140373046254
2020-03-19,2609.579749707571,2409.389892578125,30.34575448548872,264.7219724604203,322.8210256439821,208.23586370828832,87.41787239484042,19.751203764027156,256.6325243926197,242.54190996792224,89.61627078692106,157.65518869827847,289.173000813205,236.78746344329704,188.16561886054046,215.7140802877402
2020-03-20,2525.3931374953886,2304.919921875,28.70689275482961,254.24533801878016,316.8414769179738,205.38599273078827,82.54594642997729,18.08441443891264,251.34855418415816,240.90334142782126,86.25040123666301,147.43877959461136,279.3696040582692,231.10599616870755,180.04713151963745,203.11926801425895
2020-03-23,2527.9555730864577,2237.39990234375,27.51029360319362,264.5153490502201,326.57967095998646,196.6322315976234,88.10145729944519,17.73500377784482,246.66504815016168,222.4247313509062,85.3900886092481,148.8370542833222,288.7928154031979,214.48113708981765,177.5592130150594,222.73147889643107
2020-03-24,2766.9171272706526,2447.330078125,30.029853478010676,266.86549659075126,332.9762649785211,229.10368586713935,100.21615469589462,18.62741978130575,248.28624415780186,262.74021123161094,93.15168281787722,179.86968070769635,338.33932390316124,241.66583895592584,197.44622709726954,227.59904300768733
2020-03-25,2775.538196249295,2475.56005859375,29.0668307144848,263.34459690118507,323.6637060295941,228.78041335557612,98.61026205418023,19.647324042577655,249.36705676647279,264.41123378141225,92.2599798227237,199.2876082754863,333.50552021716976,252.48937969404253,198.57561764560356,222.528666948787
2020-03-26,2927.6723103819313,2630.070068359375,32.804047081477385,277.7725592526991,335.61762865054203,259.4653923840107,105.90729808219018,20.912761044683737,255.19143327926975,271.50093721398076,98.03093987160652,203.2456230193045,349.28327688811845,274.73578965917795,209.46028763956454,233.74433631530496
2020-03-27,2822.7266713215245,2541.469970703125,31.18433210579831,263.27571367403374,326.11112876556984,247.6065458158352,103.37910598171803,20.213937921332235,246.90521091458152,266.08225633121356,94.00570970620895,200.23483050053719,343.1595569382778,250.4397490541909,203.58419748998446,226.5443961222426
2020-03-30,2944.41376936417,2626.64990234375,32.513036271196455,274.08809473771566,337.06959825534665,266.977116747022,106.3901495109626,21.248006944177845,261.6763089312952,272.7663712855748,100.61813474717646,202.9862776444341,360.6210066525087,255.4499735422689,211.65358306578298,240.35611102870772
2020-03-31,2902.372452497204,2584.590087890625,31.257083347676215,273.9589452546204,334.6273293997065,261.75379415113673,101.29579251004951,20.893873495108217,257.773371966054,268.25622938832294,99.03568076914479,202.10670876967032,357.9189761112831,242.13330017988287,210.80244417819617,240.55892297635177
2020-04-01,2772.7124850389323,2470.5,29.61439168174417,259.2985611217915,327.41550045588394,245.70097222534844,96.9121485727771,19.888133995410023,255.73183958360522,256.60771542153014,95.5190972096802,189.20652093659967,330.04311885592995,224.6694104797234,206.1703320125042,235.93474248640425
2020-04-02,2805.0889104749726,2526.89990234375,29.9188087261727,261.66591633348366,329.325725445167,240.6818108108744,98.3661251795608,20.752220475723536,256.33228085270406,262.01015692186917,97.49716947317945,191.4392472023433,346.8799664145486,217.2619269045247,210.57329428255343,242.38426145226785
2020-04-03,2730.5320632356456,2488.64990234375,29.130008578872694,252.7560469188643,327.2249954400625,224.45883725958134,96.95012137274588,20.695559628212838,258.6740567750685,260.1120058144781,96.59919032086206,190.78521962361575,331.18367508595134,197.78434542382251,203.8624616384644,240.31553935504306
2020-04-06,2949.692816706351,2663.679931640625,31.791246844941924,274.7251200969698,342.8431803245266,256.57299648088105,103.8022787719522,22.036543226189274,270.3227868952963,287.22152583496177,103.78306186707846,205.73770972412476,364.43645212200585,217.96912683984087,222.4564209471474,245.9943667304353
2020-04-07,2926.1850238011375,2659.409912109375,31.421735507796715,265.944373894192,345.24769595917144,253.16165629300693,104.32310300069341,21.960994829103054,261.3760653913796,284.86911761239105,102.66529264907479,215.23242283457094,351.71377010054005,222.96737170814924,221.80168911997853,243.49973490109005
2020-04-08,2996.526630482924,2749.97998046875,32.87871475168408,273.04643952926847,350.6368320764848,255.79885071937252,105.6957116870731,22.57954856858239,267.26047686894,287.95160489985966,103.69514775718781,222.87782385685261,362.4676510990447,242.81652258616396,227.26859373111037,241.5527123512995
2020-04-09,3025.485004806332,2789.820068359375,34.06382701888591,274.3549581326061,350.59564293526574,256.15613278684225,109.33608380285064,23.13671867254921,267.380569703833,298.02640883563976,103.70142391435166,219.90085048112576,357.0364072777418,266.08174891659246,223.55306866025663,242.16116366779144
2020-04-13,3045.9805079343223,2761.6298828125,33.03953989791629,276.0336124290538,372.23971956729287,253.51044895224658,107.84954843821274,22.1593104972143,266.2997570951621,292.2183788570935,103.93376629436567,220.2278642704895,366.4052945820689,259.3215305988701,229.36368562711982,243.37805082721556
2020-04-14,3186.417474753654,2846.06005859375,34.09829059357305,293.35403981083357,391.88258217630636,266.4241629063711,112.39595305134873,23.098943573398167,275.4866642688648,298.4969053332476,109.07676567776691,232.32743473377408,385.5504373395821,273.8967407484126,241.31224801123247,249.01630652894318
2020-04-15,3153.8313588118735,2783.360107421875,32.442195614878045,286.27779881812546,396.06342666517264,263.6848878892999,107.68136544188273,22.4803916351347,272.72457487705793,288.5194139162561,107.93388224918849,233.60167074818872,381.32762372122613,271.3676509753385,239.24989895044783,250.47657730967603
2020-04-16,3204.64099965605,2799.550048828125,32.155011818485406,295.01551270737394,413.31379936032454,256.5049254460819,108.4246372633776,22.239579881086467,275.1263857641858,291.21252735278955,111.17415200081476,245.83654791204754,400.1469051093337,247.76683068589801,248.51414825729725,257.2100360969533
2020-04-17,3262.8189203248544,2874.56005859375,33.52200657245898,296.2292971699383,407.6174626439801,271.5964711683967,113.61664570279773,22.692872064819653,278.5489513898549,301.92007307952287,112.15377868777826,252.27536627020166,396.9153084057222,269.67761011302974,253.6700333969916,252.38304365936168
