Date,total,SP500,TEAM,NVDA,PAYC,LOGI,MCD,RACE,EL,FICO,NYT,VZ,WIX,SHOP,SQ,UI,DELL,AMZN,TTWO,MSI,NFLX,COST,TMUS,MTCH,FISV,AMD,PEP,LMT,GPN,SBUX,SNE
2020-01-02,3260.130592724609,3257.85009765625,162.89250488281252,162.89250488281252,162.8925048828125,45.93568637695312,162.89250488281252,162.89250488281252,162.46898437011717,162.89250488281252,72.35685066894531,6.255072187500001,50.398941010742185,162.89250488281252,54.40609663085937,162.89250488281252,162.89250488281252,162.89250488281252,79.78474889160157,15.311895458984376,110.99495282714845,141.0974877294922,137.5464311230469,92.94646328613281,162.89250488281252,162.89250488281252,21.176025634765622,99.33184947753907,162.89250488281252,16.875663505859375,35.64088006835937
2020-01-03,3243.4421324538685,3234.85009765625,163.1046093578612,160.28524960928587,163.43787935901167,45.49242280469255,162.31651857657135,161.1718445700721,161.24018952034234,162.46710924097945,72.75649028664976,6.188474600997775,50.9402683446829,161.48650740597378,53.698636838774874,161.7444596508687,157.53440003797917,160.91514456533352,79.86970791900151,15.572414615329986,109.67907194044881,141.21367122202415,136.81135984287695,92.44765179215568,164.09108198972805,161.23372168581642,21.146401894867846,102.90597424761499,161.77830130014863,16.777450987421485,35.13511824635685
2020-01-06,3275.2926692589895,3246.280029296875,169.26875660061552,160.95742661993688,166.66217115813646,45.463515429605415,164.1418492615724,160.3211904913774,163.3354484407016,163.35192646389254,72.86749940946697,6.1751549273585455,52.01107559864655,165.09736705574988,53.33212207324794,161.51314851849398,159.12314595520283,163.31046142641563,81.49050118665808,15.81303894552156,113.02093263836915,141.25238920472296,137.59894765973914,92.56781170271043,164.8807236768677,160.5370357804008,21.227474638863708,102.749278574543,164.9103497798542,16.64524010990054,35.6666859304178
2020-01-07,3272.3693922272987,3237.179931640625,169.8785316821354,162.90607689088824,167.50120177940602,45.58878684817033,164.3852291620024,159.71218760255726,162.30357615067783,165.26194874146861,72.06822017405804,6.106507739384325,51.370959523208256,165.56470826643903,55.05388502803472,159.02002395337698,155.13571384310492,163.65203443425207,82.02640771321006,15.699358148222156,111.3113032331811,141.02972756671483,138.12399285152046,93.15399984149026,164.24619171513922,160.07257851012375,20.893822161394745,103.09500491232072,164.38395080258,16.594245453225533,36.22921749901147
2020-01-08,3299.3930620220212,3253.050048828125,172.41047575611435,163.2116231978876,169.67670072956992,45.88750619317043,167.0461546813875,162.9215036156022,163.6190174075111,166.47007080642913,72.2458415461281,6.117778202398522,52.86060451256121,167.00266715735813,57.61948838672324,159.39699285883404,155.75875122469364,162.37413190932006,83.53609457746543,15.715462795332677,114.17527988484797,142.64647293736425,138.99908152394943,94.24993371481261,164.69741707322774,158.6792066992925,21.001402109851014,102.23194147952422,165.69116645111896,16.78689369518919,36.36340089435615
2020-01-09,3337.6732097207296,3274.699951171875,179.5025649066596,165.00411249347613,170.9772119096596,46.21513658917007,169.02562638262137,164.24584299684415,166.9588283478011,170.8006083066436,69.98121986895389,6.029664099756936,55.34993006784321,171.83580100669636,57.90076852135715,159.722546217573,154.57498138802006,163.15340950148382,83.66680652671656,15.980718952717796,112.963726230941,144.9360632816748,139.68164962022055,94.7305344451435,166.107497662012,162.46123036356178,21.01543365642322,103.20195327666795,167.89324161938913,17.098531871019173,36.65756960968219
2020-01-10,3324.199233688169,3265.35009765625,177.50086179290628,165.8867799530389,171.1509986990504,45.78150758330108,168.14946616836298,165.59916636075735,166.69100453194824,171.86409741122623,69.3817604423972,6.044008574132164,55.42105072665953,171.4243861757939,57.95190799929586,157.82915204178698,154.23231023397378,161.61803862173065,82.84333869796315,15.849038418786115,110.7391775361986,143.8808099073558,138.26401024377952,96.54737914193421,165.16273549140007,159.80716712395886,20.97489728442529,102.92835825942905,167.0773379301844,17.028650357833968,36.56983597855833
2020-01-13,3373.1630696393822,3288.1298828125,180.37748069568835,171.08770813170494,177.05420782110085,46.244047640169605,167.53290210343152,168.4798202354403,168.1482362817859,173.9527915704719,69.93681452593637,6.060401868285462,56.278483945737655,175.85009122870878,58.52299368254864,160.9391324389506,155.2291771745855,162.31663734831508,83.94782599876662,16.187238899166573,114.0608567995415,145.1538796322639,138.9640838522814,98.7028253612864,167.1368504673103,161.73136170711985,21.28672211865926,104.21922273998811,169.58648139967823,17.20241174328743,36.972382227170634
2020-01-14,3354.8393326707924,3283.14990234375,177.92507074300363,167.89653534126555,171.70837108451502,45.53096842208366,168.1900315482373,165.83117097319322,169.90478214938975,171.33659798756284,73.15612990435423,6.049131405271265,56.40097957350734,176.23754109390492,58.1053329360975,158.55738861577055,158.4378036471103,160.4405420502738,82.95444011521333,15.947561390970995,113.98344841663558,145.0957952721068,139.66415746078326,98.52442408216855,165.75497751481595,159.9398728170413,21.336615234073342,103.50291159081756,167.84060439903814,17.185412563745903,37.40073433784136
2020-01-15,3362.7077868113925,3289.2900390625,178.8397535926795,166.73549667178935,173.2545833516049,45.2996983936494,170.17761137391966,166.82683346595476,172.1024446469633,171.80453578998814,73.7777877676931,6.055278646299399,56.09672713150598,179.1494063243026,59.97200191668646,146.71719741644705,157.6278514860101,159.8037436909212,82.74530598256257,16.15692469446729,114.11133606211051,145.61373877053717,140.48672959652,99.99900953891328,167.1086535890815,161.06784589721912,21.70300798687745,104.69926073902377,170.53399152664255,17.28929243601416,36.95173832500824
