,allocation_weight,allocation_discrete,ticker,buy_price,buy_investment,actual_allocation
0,0.05,2.0,ADBE,486.4200134277344,972.8400268554688,0.04869785788459542
1,0.05,,AMZN,3156.969970703125,,
2,0.01725,1.0,ASML,452.989990234375,452.989990234375,0.022675508365832465
3,0.05,12.0,ATVI,85.94000244140625,1031.280029296875,0.05162321339537337
4,0.05,3.0,COST,374.3800048828125,1123.1400146484375,0.05622148689198393
5,0.00669,1.0,EA,137.5399932861328,137.5399932861328,0.00688489665474197
6,0.05,2.0,FICO,517.6400146484375,1035.280029296875,0.05182344305920413
7,0.00965,,GOOG,1760.06005859375,,
8,0.01279,1.0,INTU,365.510009765625,365.510009765625,0.018296486595537568
9,0.00568,1.0,LMT,357.6600036621094,357.6600036621094,0.017903535574743473
10,0.05,11.0,LOGI,89.38999938964844,983.2899932861328,0.04922095620095908
11,0.05,5.0,MCD,211.9199981689453,1059.5999908447266,0.05304083749047999
12,0.05,5.0,MSFT,214.1999969482422,1070.999984741211,0.05361149172687144
13,0.02545,3.0,MSI,165.9199981689453,497.75999450683594,0.024916579092126644
14,0.05,7.0,MTCH,144.80999755859375,1013.6699829101562,0.05074169997835916
15,0.05,2.0,NFLX,522.4199829101562,1044.8399658203125,0.05230198877828697
16,0.05,2.0,NVDA,532.3499755859375,1064.699951171875,0.05329612832594378
17,0.05,3.0,PAYC,425.9800109863281,1277.9400329589844,0.06397037579881315
18,0.05,5.0,RACE,216.39999389648438,1081.9999694824219,0.05416212253859049
19,0.05,11.0,SNE,93.37000274658203,1027.0700302124023,0.051412471720020426
20,0.05,4.0,SNPS,238.86000061035156,955.4400024414062,0.04782685762482672
21,0.05,5.0,TTWO,195.1999969482422,975.9999847412109,0.0488560372108908
22,0.05,4.0,UI,253.13999938964844,1012.5599975585938,0.05068613697990905
23,0.02938,10.0,VZ,59.97999954223633,599.7999954223633,0.03002443786227836
24,0.0037,1.0,YNDX,68.2300033569336,68.2300033569336,0.003415417658832674
25,0.03955,2.0,ZBRA,383.4599914550781,766.9199829101562,0.03839003259079892
