Date,total,SP500,ACN,ADBE,DEO,EA,FB,GOOG,GRMN,INTU,MSFT
2020-01-02,3257.85009765625,3257.85009765625,488.67751464843747,488.67751464843747,150.1217325,202.6708545751953,318.52000404785156,386.21812907714843,245.6093188623047,488.67751464843747,488.67751464843747
2020-01-03,3238.130313501871,3234.85009765625,487.8636547335286,484.84911190257645,149.8156405102681,202.4065188484571,316.83463174849203,384.32287865574375,244.03586754992662,485.40938507383646,482.5926244790423
2020-01-06,3262.2514756604937,3246.280029296875,484.67786703417437,487.62543076008194,150.99500544620133,205.38975279903613,322.8017694666326,393.7991652419264,243.98592488096213,489.1365219259441,483.840038105535
2020-01-07,3245.0636396744135,3237.179931640625,474.2136801210823,487.1578726042981,149.69859968123498,204.6533869309487,323.5001986828879,393.5534322745026,243.61128817187748,489.2466791900528,479.428502017529
2020-01-08,3281.0533956376294,3253.050048828125,475.1438513583555,493.7041327157969,151.697222946027,206.7303166718419,326.7798458332451,396.6547636837682,242.26260745206145,501.01563250906315,487.06502246747
2020-01-09,3309.875534078087,3274.699951171875,479.3760151701334,497.4741185628427,152.91260678497957,206.48486618421833,331.4563745843347,401.0356166899325,243.26163232468232,504.72439114009876,493.1499126368651
2020-01-10,3308.9034691225356,3265.35009765625,482.8873539319322,496.53891306517,152.273401759658,205.0310052819414,331.0919616226655,403.83191097799727,241.01383112498897,505.36701253484046,490.86807882334193
2020-01-13,3341.7329417572428,3288.1298828125,487.3753103986596,505.04325411328944,151.18405660690013,207.35339991567488,336.937628353583,406.5152170614531,243.736154371696,506.81749122048683,496.7704297154997
2020-01-14,3318.588509133132,3283.14990234375,483.0501117219521,503.58202896796524,151.382119361947,206.90025501344033,332.610314210621,404.1567391365632,242.98690000834122,500.6484042745931,493.2716364377086
2020-01-15,3326.074027053345,3289.2900390625,481.95718269465897,501.1125549049231,153.31773015223493,206.95689632556756,335.78366555907485,406.5067351882966,242.73714855388965,501.2359470372805,496.46616663741884
2020-01-16,3360.544723291033,3316.81005859375,485.95683030892206,504.67794782695836,153.23670822622114,210.0722981395157,336.7250599179981,410.0374010875806,245.93401290242485,508.3413707280978,505.56309415331464
2020-01-17,3394.919477163953,3329.6201171875,486.4684156188212,511.04886805590667,153.67783675930934,213.22545602647648,337.2868429617107,418.14100338877995,247.3576171530949,519.3208449772756,508.39259222257783
2020-01-21,3399.463396809886,3320.7900390625,486.35213977886144,511.42880086346776,152.85857843045054,212.24363967076545,336.2240007837862,419.27364376760295,251.22881233413088,523.2866745786725,506.56710660214816
2020-01-22,3407.2837628593534,3321.75,486.9567599536902,511.516470804743,152.1293536219536,213.52754782622728,336.04180588706254,419.71142565161864,250.30473004717857,532.9625278172948,504.1331412495845
2020-01-23,3412.189750643858,3325.5400390625,489.9099604907204,514.0005713890151,152.2013776908058,214.26392809953143,333.6731563885455,419.90916362947405,251.15388880327686,529.8412559177848,507.23644823470386
2020-01-24,3387.8115424232074,3295.469970703125,485.0034535790234,513.4306721776735,152.3184185198389,212.0925865682817,330.90976672594184,414.2770274577735,248.7312596799859,528.9232413627715,502.1251163519175
2020-01-27,3337.5743124445767,3243.6298828125,480.3061864074066,506.8989939943522,149.80662891592002,208.75060510060788,326.24841316017194,405.0097535344957,245.83410850968133,520.9916381911391,493.7279846308021
2020-01-28,3393.0485070344184,3276.239990234375,488.88682535332686,518.1942804212072,146.70066478404698,211.28069414895236,330.68199993681543,410.28034124311137,254.55056193729916,529.0701550690242,503.4029841406349
2020-01-29,3392.3230392254827,3273.39990234375,483.5849734892859,513.8544399558722,144.7920750396168,211.86600691455607,338.94184172220895,411.99481743297366,251.07896527242283,524.9574677925362,511.2524516060102
2020-01-30,3388.5487572491156,3283.659912109375,484.53835021918457,521.277444073176,142.60438687693951,210.7897787684885,318.14041590086265,411.2067617709225,248.05692884748518,526.2610327719299,525.6736580201268
2020-01-31,3322.762557099062,3225.52001953125,477.19019259795186,513.0946189338025,142.19926350968416,203.7659679603775,306.5705765944726,405.1029507017395,242.13772219742836,514.7858508342632,517.9154137693424
2020-02-03,3373.564118908257,3248.919921875,483.21290499437663,523.1186020260612,144.33293705501896,198.32818591791255,310.0324186415534,419.7085983605665,245.05987328443703,519.2290099030771,530.5415887252541
2020-02-04,3435.053722198335,3297.590087890625,494.2119181923979,535.8896955264179,146.439589554496,202.16106836083353,318.59592631089373,408.7296410593194,246.8830760512667,534.1376133426695,548.0051938000404
2020-02-05,3430.590677649322,3334.68994140625,493.49105766001406,534.150834036038,146.9977589166173,203.57715878488116,319.02106318206353,409.05729650893755,244.86006449894995,532.0995918943358,547.3358521674847
2020-02-06,3472.055219074798,3345.780029296875,498.00229058417625,536.9417794147735,149.05940839309991,207.693262193655,320.1446524377105,416.96598812333366,244.38552339712174,540.1781087722208,558.6842057587068
2020-02-07,3460.875591340669,3327.7099609375,492.0028191627816,534.9399081005677,146.91673699060354,205.97506556463983,322.39180778078253,417.8133479391618,240.26455770681966,541.0961233272342,559.4752247680781
2020-02-10,3500.6572616496223,3352.090087890625,494.25843562486267,540.6533037699517,146.0704713530735,205.23869969655237,323.5001986828879,426.1316174853704,244.03586754992662,546.6592892893684,574.109378197629
2020-02-11,3476.2658190464017,3357.75,493.3050234125594,539.6012198815961,145.56631660829467,205.88066817950002,314.58747640542,426.16268320778494,244.86006449894995,545.1537880028295,561.1485788494673
2020-02-12,3494.8458078003187,3379.449951171875,492.9562313750849,546.9219721294471,144.36894222085178,207.16459074017854,320.00798309694585,428.84033470913647,244.2856190043782,548.3300825032321,561.9700520210635
