Date,total,SP500,ACN,ADBE,BABA,BKNG,DEO,EA,FB,GOOG,GRMN,INTU,MSFT,TXN
2020-03-10,2973.811414338576,2882.22998046875,270.6116210373362,323.788013958496,50.75720702923367,41.91319518166797,227.70260778243642,266.98358550731496,276.7262466551191,305.06145002128744,271.89540288386644,330.0690776890206,326.3935049724349,281.90950162036177
2020-03-11,2839.8360354171245,2741.3798828125,255.9617640899946,307.0813457426964,48.9176620278128,38.78113152633486,215.52828188770383,261.3019924627046,264.3800275279819,289.5795368250223,259.30229734432623,319.61594149678524,311.6072354785195,267.7788190072426
2020-03-12,2599.8720692149873,2480.639892578125,236.45961734522473,277.63277761159685,45.5213884330278,34.42312773180182,205.97914570481637,241.0806535294159,239.88946109741966,265.6347423667826,234.7279867945148,291.2431806148257,282.05493736680137,245.2250506187599
2020-03-13,2843.7945646899207,2711.02001953125,258.132104506291,326.82735750417805,47.71015161970685,38.21198195360595,209.55597059904665,250.66189636281732,264.44213646681857,290.60879280474603,249.09251266796423,319.77506999631146,322.15437224893407,266.6222179595008
2020-03-16,2506.868971124168,2386.1298828125,236.47511132857812,278.63615102223804,43.98433457930013,34.672349115991146,187.56998329129613,228.99433804433937,226.7512048960068,258.3488350511603,228.18987558955956,273.4826470705199,274.67193853257595,235.09220260260264
2020-03-17,2656.8440389632565,2529.18994140625,244.48992419539417,303.74973933072846,45.45006703277402,36.78521414276945,186.0769117280778,246.40071143099027,232.04688648064584,266.79982093051007,238.1097803147615,292.74871925547245,297.2874655651058,266.89879855602675
2020-03-18,2534.6299165208775,2398.10009765625,234.32026489563515,286.9943457728637,44.26715098735687,33.16895737997618,170.7031253100626,232.9714610568711,228.22655878077234,261.3199177211617,230.95971943584772,275.4900568274541,284.7728475479534,251.43551080492261
2020-03-19,2575.88516351166,2409.389892578125,245.71461121853218,299.5609058056131,44.48356937078505,32.03254199899722,183.07434512739306,232.58407523490646,237.80846804486043,265.72528106143005,225.80653015403655,264.2535489620229,289.45823897584324,255.38304755723962
2020-03-20,2472.40346441788,2304.919921875,232.4444757476082,287.70548604592074,44.586858939446806,31.654814402789178,179.76003294540135,224.52654471369632,232.52830777076625,255.48737022251012,212.66587905615953,247.05607256269562,278.5865673018831,245.40105470900303
2020-03-23,2459.648608123514,2237.39990234375,222.7554137910415,299.3270895668441,43.36705134999646,30.977587945360206,168.32403735409983,246.55565787847158,229.9969597458336,251.74675227410268,204.9360951334428,238.34106036375962,275.8077797456334,247.5131229749281
2020-03-24,2654.829991841517,2447.330078125,243.15670832397313,301.9865300336667,45.681240532786326,33.86043021650399,187.6848349500052,243.5340839330178,249.99937927992,270.29264264428963,226.6439310911886,286.200226635943,300.87752848151564,264.912455718707
2020-03-25,2610.349331341173,2475.56005859375,235.35895315372315,298.0022597048603,46.372299345010624,36.72042117742773,194.1657732246753,231.49941069601454,242.59166202163206,262.675584163471,230.95971943584772,284.6824358479149,297.99735084859077,249.32346172200468
2020-03-26,2797.0295450668445,2630.070068359375,265.6198144249181,314.3290248418005,48.03477919484912,37.799841196552386,213.90393519152832,256.1885429599463,253.66442278437322,276.79467623741294,239.07601405550196,304.03417967926737,316.6374026860676,270.9469118146266
