,allocation_weight,ticker,buy_investment,buy_price,shares_bought
0,0.01235,ACN,40.234448706054685,210.14999389648438,0.19145586426175848
1,0.08837,ADBE,287.8962131298828,334.42999267578125,0.8608564406153267
2,0.09999,AMZN,325.7524312646484,1898.010009765625,0.1716284053237811
3,0.09999,FICO,325.7524312646484,382.9200134277344,0.8507062045377402
4,0.03658,HD,119.17215657226564,219.66000366210938,0.5425300673106673
5,0.00797,KO,25.96506527832031,54.9900016784668,0.47217793209284104
6,0.08786,LOGI,286.2347095800781,47.66999816894531,6.004504312453406
7,0.09999,MCD,325.7524312646484,200.7899932861328,1.6223539128289113
8,0.03096,MSFT,100.86303902343751,160.6199951171875,0.6279606654815819
9,0.08836,MTCH,287.86363462890625,72.8954849243164,3.948991284271997
10,0.09999,NVDA,325.7524312646484,239.91000366210938,1.3578109553257312
11,0.1,PAYC,325.78500976562503,271.79998779296875,1.1986203988124418
12,0.07178,SNPS,233.8484800097656,142.8699951171875,1.6367921047239768
13,0.076,TTWO,247.596607421875,122.08000183105469,2.0281504235601298
