,allocation_weight,ticker,buy_investment,buy_price,shares_bought
0,0.05,TEAM,162.89250488281252,122.87999725341797,1.3256226279601546
1,0.05,NVDA,162.89250488281252,239.91000366210938,0.6789733750003658
2,0.05,PAYC,162.89250488281252,271.79998779296875,0.5993101994062209
3,0.0141,LOGI,45.93568637695312,47.66999816894531,0.9636183793033579
4,0.05,MCD,162.89250488281252,200.7899932861328,0.8112580822226781
5,0.05,RACE,162.89250488281252,168.50999450683594,0.9666637599718423
6,0.04987,EL,162.46898437011717,206.25999450683594,0.7876902390043096
7,0.05,FICO,162.89250488281252,382.9200134277344,0.42539564183305345
8,0.02221,NYT,72.35685066894531,32.59000015258789,2.22021633415671
9,0.00192,VZ,6.255072187500001,61.04999923706055,0.10245818616985083
10,0.01547,WIX,50.398941010742185,127.55000305175781,0.3951308491171974
11,0.05,SHOP,162.89250488281252,407.80999755859375,0.3994323480493101
12,0.0167,SQ,54.40609663085937,63.83000183105469,0.8523593149011884
13,0.05,UI,162.89250488281252,190.1300048828125,0.8567427586361872
14,0.05,DELL,162.89250488281252,52.290000915527344,3.1151750244938725
15,0.05,AMZN,162.89250488281252,1898.010009765625,0.0858227849403846
16,0.02449,TTWO,79.78474889160157,122.08000183105469,0.6535447878024682
17,0.0047,MSI,15.311895458984376,161.6300048828125,0.09473423867113068
18,0.03407,NFLX,110.99495282714845,329.80999755859375,0.33654211106026033
19,0.04331,COST,141.0974877294922,291.489990234375,0.48405603093280003
20,0.04222,TMUS,137.5464311230469,78.58999633789062,1.7501773448579685
21,0.02853,MTCH,92.94646328613281,72.8954849243164,1.27506475034269
22,0.05,FISV,162.89250488281252,115.5199966430664,1.4100805887842747
23,0.05,AMD,162.89250488281252,49.099998474121094,3.3175663939922018
24,0.0065,PEP,21.176025634765622,135.82000732421875,0.15591241711698553
25,0.03049,LMT,99.33184947753907,399.3699951171875,0.24872136287652766
26,0.05,GPN,162.89250488281252,185.6699981689453,0.8773227042022856
27,0.00518,SBUX,16.875663505859375,89.3499984741211,0.18887144705153142
28,0.01094,SNE,35.64088006835937,69.05999755859375,0.5160857417945892
