Date,total,SP500,ACN,ADBE,AMZN,AVGO,COST,FICO,GIB,HD,KO,LMT,LOGI,MCD,MSFT,MSI,MTCH,NFLX,NVDA,PAYC,PEP,RACE,SNE,SNPS,TTWO,UI,VZ
2020-01-02,3258.4690891748055,3257.85009765625,23.489099204101564,162.89250488281252,162.89250488281252,9.415186782226563,162.89250488281252,162.89250488281252,118.52058655273439,85.42082956054688,9.38260828125,162.89250488281252,162.89250488281252,162.89250488281252,111.8094153515625,162.89250488281252,162.89250488281252,162.89250488281252,162.89250488281252,162.8925048828125,72.97584218749999,162.89250488281252,162.89250488281252,162.89250488281252,162.89250488281252,162.89250488281252,58.28293824707031
2020-01-03,3246.9500527041996,3234.85009765625,23.44997967085828,161.6163706341922,160.91514456533352,9.175710858538517,163.02663498271085,162.46710924097945,117.92959365719997,85.13694472488793,9.331420591999112,168.75364750346833,161.32064824359065,162.31651857657135,110.4171924808049,165.66398526946793,162.01831719620697,160.9613618145712,160.28524960928587,163.43787935901167,72.8737542223138,161.1718445700721,160.58097918810262,161.62694328120887,163.065961451616,161.7444596508687,57.66240136033864
2020-01-06,3270.561638163401,3246.280029296875,23.29684947544265,162.5418102533607,163.31046142641563,9.161984784281472,163.07133364664392,163.35192646389254,118.67535839293565,85.53749399250813,9.328008035990488,168.49668510092326,161.21813982129584,164.1418492615724,110.70260071854642,168.22381856937832,162.22890238820617,165.86576553913878,160.95742661993688,166.66217115813646,73.15314337085339,160.3211904913774,163.01044757960602,161.87777656421005,166.3750534639814,161.51314851849398,57.5382925262731
2020-01-07,3271.5372429861322,3237.179931640625,22.793870891153357,162.38595753476608,163.65203443425207,9.130444491970415,162.81427795741726,165.26194874146861,118.74571801287594,84.9775094661337,9.256346312444855,169.06363547445181,161.6623647098239,164.3852291620024,109.69324126161067,167.0144483853421,163.25622124341092,163.35677022773865,162.90607689088824,167.50120177940602,72.00332560234496,159.71218760255726,165.58143281083852,162.9951311511177,167.46918683791358,159.02002395337698,56.89865805082581
2020-01-08,3301.6971502972588,3253.050048828125,22.83858112195829,164.56804423859901,162.37413190932006,9.016546862871436,164.68075841302732,166.47007080642913,119.81512197081786,86.24913456649287,9.27340844160948,167.64831334785868,162.72165316727109,167.0461546813875,111.44047714055715,167.18577441843274,165.17689049213567,167.55984720406218,163.2116231978876,169.67670072956992,72.37406265548657,162.9215036156022,166.19470244221273,166.30154457652404,170.55143850033778,159.39699285883404,57.003672937973725
2020-01-09,3330.5739915104114,3274.699951171875,23.042007129177748,165.82470618761428,163.15340950148382,8.944120676362473,167.3240167186271,170.8006083066436,121.26443996447335,87.57132157238796,9.442326384204694,169.2390181644276,163.88346308216342,169.02562638262137,112.83270001131477,170.00764843316804,166.01916306544604,165.7818113163208,165.00411249347613,170.9772119096596,72.42241752367386,164.24584299684415,167.53916640622575,169.50534913085667,170.81830650615876,159.722546217573,56.18265142950603
2020-01-10,3320.739274341091,3265.35009765625,23.210785478994875,165.5129710217234,161.61803862173065,8.738521891080023,166.1057606873191,171.86409741122623,120.49052708661326,87.19410993819962,9.474744689968883,168.79035463992955,162.34577157198967,168.14946616836298,112.31061643478066,168.606791689214,169.20325822280796,162.51713756413062,165.8867799530389,171.1509986990504,72.28272294940406,165.59916636075735,167.13819002997408,169.2659284316846,169.13707369939397,157.82915204178698,56.316309057929374
2020-01-13,3369.6691184229026,3288.1298828125,23.426506586495574,168.3477513710965,162.31663734831508,8.795762142957091,167.57547867959352,173.9527915704719,121.46143401786124,86.85189585345978,9.57711941759215,170.9072199737424,163.98598453960855,167.53290210343152,113.66107431890636,172.20466914006994,172.98076649366703,167.39192368585486,171.08770813170494,177.05420782110085,73.35731930122574,168.4798202354403,168.9779809285678,170.94192551758323,171.39204981373342,160.9391324389506,56.46905699147234
2020-01-14,3341.5209996817657,3283.14990234375,23.218608703435166,167.8606763226551,160.4405420502738,9.000192505192274,167.50842215666916,171.33659798756284,120.96894888439152,86.64579126164135,9.554938128975333,169.7325542650337,161.45733483008394,168.1900315482373,112.86055041694775,169.65490841458507,172.66811090460666,167.27832171505077,167.89653534126555,171.70837108451502,73.52925865280659,165.83117097319322,170.93571452395503,168.958084421232,169.36390386936165,158.55738861577055,56.364042104324426
2020-01-15,3338.9420075211256,3289.2900390625,23.166075248189944,167.0375183016411,159.8037436909212,8.85300328607981,168.1063712428275,171.80453578998814,121.25036589341114,87.33799270846545,9.674374985763226,171.6944256133548,160.6372283462745,170.17761137391966,113.59145892664145,171.88217760071586,175.2523826479378,167.46600537439173,166.73549667178935,173.2545833516049,74.79190444708536,166.82683346595476,168.88363037023876,168.63884522418164,168.93692524002162,146.71719741644705,56.42132030327929
2020-01-16,3367.633720331667,3316.81005859375,23.358324976848856,168.22598260898616,161.17003572226704,8.967191461260718,169.341374350817,173.49335700734716,121.78507324006748,88.98294873814025,9.694849670936478,173.63182553736843,160.46637663073307,171.05377158817808,115.67283594227841,174.21021866503023,176.74552235814534,167.24374523620975,169.01683726589152,176.3829833240852,75.0121986668535,167.62916615674558,171.28952461880664,170.6683018613866,170.31126238508568,146.3145272740595,56.96548504413848
2020-01-17,3381.4239064549374,3329.6201171875,23.38291517741134,170.34962268530225,160.03546101969457,9.018007614491935,170.26343564912636,172.27247359241343,122.02427877127123,90.18457873960236,9.715324356109729,173.61550710539126,159.13371500029928,171.97048480349486,116.32022510052583,177.49567715095756,175.92237839440617,167.76234720111052,169.25448209126625,177.5396476194602,75.89873737769857,168.14149676952118,170.95930666241952,173.1424143371425,173.47356935926942,146.14318133690367,57.404638539647756
